# Canadian Shipwreck Incidents by Exact Date (Atlantic Provinces and St. Lawrence Focus)

| Ship | Exact wreck/sinking date | Nearest place | Province | Coordinates (if known) | Incident type | Brief description |
|---|---|---|---|---|---|---|
| HMS Duchess of Cumberland | 1781-09-22 | Cape Ray | Newfoundland and Labrador | — | Wrecked | Sloop wrecked near Cape Ray |
| SS La Bourgogne | 1898-07-04 | Off Sable Island | Nova Scotia | — | Sunk (collision) | Ocean liner sank after collision near Sable Island |
| Niobe (Amazon-class sloop) | 1874-05-21 | Miquelon Island / Cape Blanc area | Newfoundland and Labrador | — | Wrecked | Warship wrecked off the Atlantic coast of Newfoundland and Labrador |
| RMS Titanic | 1912-04-15 | Off Newfoundland | Newfoundland and Labrador | 41.7325N, 49.9469W | Sank | Sank after iceberg collision during transatlantic voyage |
| RMS Empress of Ireland | 1914-05-29 | Near Rimouski | Quebec | — | Sank (collision) | Sank in the St. Lawrence after collision |
| HMS Drake | 1822-06-12 | Near St. Shotts | Newfoundland and Labrador | — | Ran aground and sank | Royal Navy vessel lost near St. Shotts |
| Dunbrody | 1875-11-03 | Off Labrador coast | Newfoundland and Labrador | — | Foundered | Barque foundered off the Labrador coast |
| Duchess of Fife | 1907-10-18 | Near Bonavista | Newfoundland and Labrador | — | Sank | Schooner sank near Bonavista |
| SS Atlantic | 1873-04-01 | Lower Prospect | Nova Scotia | — | Wrecked (grounding) | Passenger liner ran aground and broke up |
| MV Florizel | 1918-02-23 | Cappahayden | Newfoundland and Labrador | — | Wrecked (grounding) | Passenger steamer grounded and wrecked in severe weather |
