# Papa John's Nutrition Facts Chart - Fast Food Nutrition Facts

|   | BBQ Chicken Bacon Pizza | Cheese Pizza | Double Bacon 6 Cheese Pizza | Garden Fresh Pizza | Hawaiian BBQ Chicken Pizza | John's Favorite Pizza | Pepperoni Pizza | Spicy Italian Pizza | Spinach Alfredo Pizza | Sweet Chili Chicken Pizza | The Meats Pizza | The Meats Pizza | The Works Pizza | Tuscan Six Cheese Pizza |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|  | 370 | 300 | 370 | 300 | 370 | 430 | 340 | 400 | 300 | 350 | 400 |  | 350 | 340 |
|  | 110 | 90 | 140 | 90 | 110 | 200 | 130 | 180 | 100 | 80 | 170 |  | 130 | 120 |
|  | 12 | 10 | 15 | 10 | 12 | 22 | 14 | 20 | 11 | 9 | 19 |  | 14 | 13 |
|  | 5.0 | 4.5 | 7.0 | 4.0 | 5.0 | 9.0 | 6.0 | 8.0 | 4.5 | 4.0 | 8.0 |  | 6.0 | 6.0 |
|  | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  | 0.0 | 0.0 |
|  | 35 | 25 | 40 | 20 | 35 | 40 | 30 | 40 | 25 | 25 | 40 |  | 30 | 30 |
|  | 1090 | 740 | 1030 | 740 | 1090 | 1110 | 900 | 1040 | 740 | 870 | 1100 |  | 980 | 840 |
|  | 48 | 40 | 41 | 42 | 50 | 40 | 40 | 41 | 39 | 52 | 40 |  | 42 | 40 |
|  | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 |  | 2 | 2 |
|  | 4 | 5 | 5 | 6 | 13 | 5 | 5 | 5 | 4 | 14 | 5 |  | 5 | 5 |
|  | 16 | 11 | 19 | 11 | 16 | 17 | 13 | 15 | 11 | 13 | 16 |  | 14 | 15 |
|  | 8 | 4 | 6 | 8 | 8 | 6 | 4 | 6 | 15 | 8 | 4 |  | 6 | 6 |
|  | 2 | 6 | 6 | 20 | 4 | 6 | 6 | 6 | 0 | 15 | 6 |  | 15 | 6 |
|  | 15 | 20 | 25 | 20 | 15 | 25 | 15 | 20 | 20 | 15 | 15 |  | 20 | 30 |
|  | 15 | 15 | 15 | 15 | 15 | 15 | 15 | 15 | 15 | 15 | 15 |  | 15 | 15 |
