# Board Games 2011: Board composition rankings - The Globe and Mail

| RANK | 1 | 2 | 2 | 4 | 4 | 4 | 7 | 7 | 7 | 10 | 10 | 12 | 12 | 12 | 15 | 15 | 15 | 15 | 19 | 19 | 19 | 19 | 23 | 23 | 23 | 26 | 26 | 28 | 28 | 28 | 28 | 28 | 33 | 33 | 33 | 33 | 37 | 37 | 37 | 37 | 41 | 41 | 43 | 43 | 43 | 43 | 43 | 48 | 48 | 48 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| COMPANY NAME | Potash Corporation of Saskatchewan Inc. | Manulife Financial Corp. | Nexen Inc. | Bank of Nova Scotia | Canadian Pacific Railway Ltd. | Emera Inc. | SNC-Lavalin Group Inc. | Sun Life Financial Inc. | TransCanada Corp. | Bank of Montreal | Toronto-Dominion Bank | Cameco Corp. | Canadian Imperial Bank of Commerce | Industrial Alliance Insurance and Financial Services Inc. | Canadian National Railway Co. | Canadian Real Estate Investment Trust | Finning International Inc. | National Bank of Canada | Chartwell Seniors Housing Real Estate Investment Trust | Gildan Activewear Inc. | Kinross Gold Corp. | Precision Drilling Corp. | Goldcorp Inc. | Royal Bank of Canada | TransAlta Corp. | Boardwalk Real Estate Investment Trust | Inmet Mining Corp. | Agrium Inc. | Enbridge Inc. | Groupe Aeroplan Inc. | Keyera Corp. | Vermilion Energy Inc. | Methanex Corp. | Pengrowth Energy Corp. | Suncor Energy Inc. | TMX Group Inc. | ARC Resources Ltd. | CAE Inc. | Intact Financial Corp. | Manitoba Telecom Services Inc. | Shoppers Drug Mart Corp. | Stantec Inc. | Enerplus Corp. | Barrick Gold Corp. | Davis + Henderson Corp. | RONA Inc. | Savanna Energy Services Corp. | Encana Corp. | Fortis Inc. | Home Capital Group Inc. |
| INDUSTRY GROUP | Materials | Financials | Energy | Financials | Industrials | Utilities | Industrials | Financials | Energy | Financials | Financials | Energy | Financials | Financials | Industrials | Financials | Industrials | Financials | Financials | Consumer Discretionary | Materials | Energy | Materials | Financials | Utilities | Financials | Materials | Materials | Energy | Consumer Discretionary | Energy | Energy | Materials | Energy | Energy | Financials | Energy | Industrials | Financials | Telecom Services | Consumer Staples | Industrials | Energy | Materials | Financials | Consumer Discretionary | Energy | Energy | Utilities | Financials |
| 1 (4) | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 2 | 4 | 4 | 4 | 4 | 4 | 4 |
| 2 (3) | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 1 | 1 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 1 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 |
| 3 (2) | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 1 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 |
| 4 (2) | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 1 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 |
| 5 (4) | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 2 | 4 | 4 | 4 | 4 | 4 | 2 | 4 | 4 | 0 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 4 | 2 | 4 | 0 | 4 | 4 | 1 | 4 | 4 | 4 | 4 | 4 | 4 |
| 6a (1) | 1 | 1 | 0 | 1 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 |
| 6b (1) | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 1 |
| 7 (4) | 2 | 1 | 1 | 1 | 1 | 4 | 2 | 1 | 1 | 2 | 2 | 1 | 2 | 1 | 1 | 1 | 1 | 2 | 2 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 1 | 2 | 1 | 1 | 2 | 2 | 4 | 1 | 0 | 1 | 1 | 1 | 0 | 2 | 1 | 2 |
| 8 (3) | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 2 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 2 | 3 | 2 | 2 | 3 | 3 | 3 | 3 | 3 | 2 | 2 | 3 | 3 | 1 | 3 | 3 | 1 | 3 | 3 | 3 | 3 | 2 | 2 |
| 9 (3) | 3 | 3 | 3 | 3 | 3 | 1 | 3 | 3 | 3 | 3 | 3 | 3 | 1 | 3 | 3 | 3 | 3 | 3 | 3 | 2 | 2 | 3 | 3 | 1 | 3 | 3 | 3 | 3 | 2 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 1 | 1 | 2 | 3 | 3 | 3 | 3 | 2 | 3 | 1 | 3 | 3 | 1 | 3 |
| 10 (2) | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 0 | 2 | 2 | 0 | 2 | 2 | 2 | 2 | 2 | 2 | 2 | 0 | 0 | 2 | 2 | 2 | 2 | 2 | 0 | 0 | 0 | 2 | 2 | 2 | 2 | 0 | 0 | 2 | 0 | 0 | 0 | 2 | 0 | 0 | 2 |
