# SS To Play 100+ Games In A Season At Age 38 Or Older | WasWatching.com

| Rk | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Player | Omar Vizquel | Omar Vizquel | Maury Wills | Luke Appling | Omar Vizquel | Barry Larkin | Rabbit Maranville | Honus Wagner | Bill Dahlen | Luke Appling | Rabbit Maranville | Ozzie Smith | Luke Appling | Larry Bowa | Luis Aparicio | Billy Geer | Honus Wagner | Luis Aparicio | Bones Ely | Bones Ely | Dave Bancroft |
| G | 153 | 152 | 149 | 149 | 145 | 145 | 145 | 145 | 144 | 142 | 142 | 141 | 139 | 133 | 132 | 116 | 114 | 110 | 110 | 105 | 104 |
| Year | 2006 | 2005 | 1971 | 1946 | 2007 | 2002 | 1931 | 1912 | 1908 | 1949 | 1930 | 1993 | 1947 | 1984 | 1973 | 1884 | 1913 | 1972 | 1901 | 1902 | 1929 |
| Age | 39 | 38 | 38 | 39 | 40 | 38 | 39 | 38 | 38 | 42 | 38 | 38 | 40 | 38 | 39 | 99 | 39 | 38 | 38 | 39 | 38 |
| Tm | SFG | SFG | LAD | CHW | SFG | CIN | BSN | PIT | BSN | CHW | BSN | STL | CHW | CHC | BOS | TOT | PIT | BOS | TOT | WSH | BRO |
| PA | 659 | 651 | 654 | 659 | 575 | 567 | 636 | 634 | 588 | 619 | 628 | 603 | 573 | 423 | 561 | 470 | 454 | 474 | 435 | 417 | 403 |
| R | 88 | 66 | 73 | 59 | 54 | 72 | 69 | 91 | 50 | 82 | 85 | 75 | 67 | 33 | 56 | 75 | 51 | 47 | 29 | 39 | 35 |
| HR | 4 | 3 | 3 | 1 | 4 | 7 | 0 | 7 | 3 | 5 | 2 | 1 | 8 | 0 | 0 | 0 | 3 | 3 | 0 | 1 | 1 |
| RBI | 58 | 45 | 44 | 55 | 51 | 47 | 33 | 102 | 48 | 58 | 43 | 53 | 49 | 17 | 49 | 0 | 56 | 39 | 44 | 62 | 44 |
| BB | 56 | 56 | 40 | 71 | 44 | 44 | 56 | 59 | 35 | 121 | 48 | 43 | 64 | 28 | 43 | 42 | 26 | 26 | 9 | 21 | 29 |
| SO | 51 | 58 | 44 | 41 | 48 | 57 | 34 | 38 | 44 | 24 | 23 | 18 | 28 | 24 | 33 |  | 40 | 28 | 42 | 23 | 11 |
| SB | 24 | 24 | 15 | 6 | 14 | 13 | 9 | 26 | 10 | 7 | 9 | 21 | 8 | 10 | 13 |  | 21 | 3 | 11 | 3 | 7 |
| BA | .295 | .271 | .281 | .309 | .246 | .245 | .260 | .324 | .239 | .301 | .281 | .288 | .306 | .223 | .271 | .213 | .300 | .257 | .212 | .262 | .277 |
| OBP | .361 | .341 | .323 | .384 | .305 | .305 | .329 | .395 | .296 | .439 | .344 | .337 | .386 | .274 | .324 | .285 | .349 | .299 | .232 | .301 | .331 |
| SLG | .389 | .350 | .329 | .378 | .316 | .367 | .317 | .496 | .307 | .394 | .367 | .356 | .412 | .269 | .309 | .290 | .385 | .351 | .265 | .310 | .332 |
