# Chicago metropolitan area - Wikipedia, the free encyclopedia

| Census Area | Chicago- Naperville- Joliet, IL-IN-WI | Cook County, Illinois | DeKalb County, Illinois | DuPage County, Illinois | Grundy County, Illinois | Kane County, Illinois | Kendall County, Illinois | McHenry County, Illinois | Will County, Illinois | Jasper County, Indiana | Lake County, Indiana | Newton County, Indiana | Porter County, Indiana | Lake County, Illinois | Kenosha County, Wisconsin | Kankakee County, Illinois | LaPorte County, Indiana | Chicago- Naperville- Joliet, IL-IN-WI |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|  | MSA | MSA | MSA | MSA | MSA | MSA | MSA | MSA | MSA | MSA | MSA | MSA | MSA | MSA | MSA | CSA | CSA | CSA |
| 2010 Census | 9,461,105 | 5,194,675 | 105,160 | 916,924 | 50,063 | 515,269 | 114,736 | 308,760 | 677,560 | 33,478 | 496,005 | 14,244 | 164,343 | 703,462 | 166,426 | 113,449 | 111,467 | 9,686,021 |
| 2000 Census | 9,098,316 | 5,376,741 | 88,969 | 904,161 | 37,535 | 404,119 | 54,544 | 260,077 | 502,266 | 30,043 | 484,564 | 14,566 | 146,798 | 644,356 | 149,577 | 103,833 | 110,106 | 9,312,255 |
| 1990 Census | 8,065,633 | 5,105,067 | 77,932 | 781,666 | 32,337 | 317,471 | 39,413 | 183,241 | 357,313 | 24,960 | 475,594 | 13,551 | 128,932 | 516,418 | 128,181 | 96,255 | 107,066 | 8,385,397 |
| 1980 Census | 7,869,542 | 5,253,655 | 74,624 | 658,835 | 30,582 | 278,405 | 37,202 | 147,897 | 324,460 | 26,138 | 522,965 | 14,844 | 119,816 | 440,372 | 123,137 | 102,926 | 108,632 | 8,264,490 |
| 1970 Census | 7,612,314 | 5,492,369 | 71,654 | 491,882 | 26,535 | 251,005 | 26,374 | 111,555 | 249,498 | 20,429 | 546,253 | 11,606 | 87,114 | 382,638 | 117,917 | 97,250 | 105,342 | 8,089,421 |
| 1960 Census | 6,794,461 | 5,129,725 | 51,714 | 313,459 | 22,350 | 208,246 | 17,540 | 84,210 | 191,617 | 18,842 | 513,269 | 11,502 | 60,279 | 293,656 | 100,615 | 92,063 | 95,111 | 7,204,198 |
| 1950 Census | 5,495,364 | 4,508,792 | 40,781 | 154,599 | 19,217 | 150,388 | 12,115 | 50,656 | 134,336 | 17,031 | 368,152 | 11,006 | 40,076 | 179,097 | 75,238 | 73,524 | 76,808 | 5,911,816 |
