# FRB: Finance and Economics Discussion Series: Screen Reader Version - 200913

| Item | NETWORTH | NETWORTH (Standard Error) | INCOME | INCOME (Standard Error) | WAGES | WAGES (Standard Error) | SELF-EMP | SELF-EMP (Standard Error) | NONTAXINT | NONTAXINT (Standard Error) | TAXINT | TAXINT (Standard Error) | DIVIDEND | DIVIDEND (Standard Error) | GAIN_LOSS | GAIN_LOSS (Standard Error) | BUSINESS | BUSINESS (Standard Error) | UNEMP | UNEMP (Standard Error) | ALIMONY | ALIMONY (Standard Error) | WELFARE | WELFARE (Standard Error) | PENSION | PENSION (Standard Error) | OTHINC | OTHINC (Standard Error) |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| All Total | 37009.8 | 1203.9 | 6943.9 | 141.2 | 4995.2 | 95.2 | 742.3 | 87.1 | 48.8 | 5.4 | 130.7 | 8.7 | 127.2 | 8.8 | 331.3 | 40.1 | 193.7 | 25.2 | 17.8 | 1.6 | 31.9 | 3.9 | 30 | 2.3 | 591.6 | 13.5 | 54.1 | 11.3 |
| All Share | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 | 100 | 0 |
| <50 Total | 5162 | 282.1 | 1124.5 | 19.7 | 810.6 | 19.4 | 33 | 7.5 | 2.2 | 0.9 | 19.8 | 2.2 | 9.5 | 2.7 | 5.7 | 2.2 | 8 | 2.1 | 8.2 | 0.9 | 12.9 | 1.5 | 28.1 | 2.1 | 287.6 | 10.4 | 7.3 | 2.4 |
| <50 Share | 13.9 | 0.8 | 16.2 | 0.4 | 16.2 | 0.5 | 4.5 | 1 | 4.6 | 1.7 | 15.2 | 1.9 | 7.5 | 2 | 1.7 | 0.7 | 4.2 | 1.2 | 46.2 | 4.1 | 40.3 | 5.3 | 93.9 | 2.2 | 48.6 | 1.8 | 13.5 | 4.7 |
| 50-90 Total | 11579.3 | 614.5 | 2952.9 | 69.7 | 2486.5 | 66.1 | 156.6 | 21.3 | 10.1 | 2.9 | 37.6 | 5.9 | 30.4 | 3.4 | 46.4 | 5.4 | 38.1 | 4.9 | 9.1 | 1.3 | 15.8 | 3.4 | 1.8 | 0.7 | 235.2 | 13.9 | 13.7 | 3.8 |
| 50-90 Share | 31.3 | 1.2 | 42.5 | 1 | 49.8 | 1.2 | 21.2 | 3.2 | 20.8 | 5.3 | 28.7 | 3.7 | 23.9 | 2.6 | 14 | 2.1 | 19.6 | 2.8 | 51 | 4.2 | 49.4 | 6.5 | 6.1 | 2.2 | 39.8 | 2 | 25.4 | 7.4 |
| 90-95 Total | 3427.4 | 362 | 701.5 | 41.3 | 589.3 | 39 | 67.2 | 19.4 | 3.5 | 2 | 10.8 | 4 | 16 | 4.1 | 20 | 7.6 | 15.1 | 5 | 0.2 | 0.1 | 1.5 | 1.5 | 0 | 0 | 27.4 | 5 | 2.8 | 1.2 |
| 90-95 Share | 9.3 | 0.9 | 10.1 | 0.6 | 11.8 | 0.7 | 9 | 2.3 | 7.1 | 3.8 | 8.3 | 3.1 | 12.6 | 3.1 | 6 | 2.2 | 7.7 | 2.5 | 1.4 | 0.7 | 4.8 | 4.3 | 0 | 0 | 4.6 | 0.8 | 5.2 | 2.5 |
| 95-99 Total | 8421.1 | 724.5 | 998.2 | 59.5 | 680.7 | 44.4 | 197.9 | 42 | 14.6 | 3.2 | 26.8 | 4.5 | 36.6 | 6.3 | 71.5 | 16.1 | 38.5 | 7.8 | 0.2 | 0.1 | 1.3 | 1 | 0 | 0 | 31.7 | 6.7 | 14.5 | 5 |
| 95-99 Share | 22.7 | 1.5 | 14.4 | 0.8 | 13.6 | 0.8 | 26.5 | 4 | 29.9 | 5 | 20.5 | 2.9 | 28.7 | 3.7 | 21.6 | 4.6 | 19.9 | 4.2 | 1.4 | 0.7 | 4.1 | 3 | 0 | 0 | 5.4 | 1.1 | 26.7 | 7.8 |
| 99-100 Total | 8419.9 | 559.8 | 1166.8 | 113.9 | 428 | 54.9 | 287.6 | 48.9 | 18.3 | 2.9 | 35.7 | 4.2 | 34.7 | 4.8 | 187.5 | 37.1 | 94 | 21.6 | 0 | 0 | 0.5 | 0.2 | 0 | 0 | 9.6 | 2.8 | 15.8 | 9 |
| 99-100 Share | 22.8 | 1.6 | 16.8 | 1.4 | 8.6 | 1 | 38.8 | 4.7 | 37.6 | 5.1 | 27.3 | 2.8 | 27.3 | 3.8 | 56.6 | 5.5 | 48.6 | 6.3 | 0.1 | 0.1 | 1.4 | 0.8 | 0 | 0 | 1.6 | 0.5 | 29.2 | 11.2 |
