# Incidence and Prevalence of Selected Human Neurologic and Infectious CNS Conditions (Rate-Based Comparison)

| Condition group | Disease/Condition | Measure | Frequency (explicit) | Denominator | Time frame | Example setting |
|---|---|---|---|---|---|---|
| CNS infection | Bacterial meningitis | Incidence rate | 1–2 per 100,000 | Population | Per year | Higher in infants/older adults |
| CNS infection | Viral meningitis | Incidence rate | 3–10 per 100,000 | Population | Per year | Often underdiagnosed |
| CNS infection | Encephalitis (all-cause) | Incidence rate | 2–8 per 100,000 | Population | Per year | Includes infectious and autoimmune causes |
| CNS infection | Japanese encephalitis | Incidence rate | <1 per 1,000,000 (in non-endemic countries) | Population | Per year | Risk concentrated in endemic rural Asia |
| Neurologic | Epilepsy | Prevalence | ~0.8% (~8 per 1,000) | Population | Point prevalence | Common chronic neurologic disorder |
| Neurologic | Parkinson disease | Prevalence | ~0.3% overall; ~1% age >60 | Population | Point prevalence | Strong age gradient |
| Neurologic | Alzheimer’s disease/dementia | Prevalence | ~5–8% age >65 | Population age >65 | Point prevalence | Increases sharply with age |
| Neurologic | Stroke (all types) | Annual incidence | ~150–250 per 100,000 | Population | Per year | Range varies by region and age structure |
| Neurologic | Multiple sclerosis | Incidence rate | ~3–7 per 100,000 | Population | Per year | Higher in Europe/North America |
| Neuromuscular | Guillain–Barré syndrome | Incidence rate | ~1–2 per 100,000 | Population | Per year | Often post-infectious |
| Prion disease | Creutzfeldt–Jakob disease | Incidence rate | ~1 per 1,000,000 | Population | Per year | Very rare |
| CNS infection | Rabies (human) | Incidence (case count) | ~59,000 deaths | Global population | Per year | Majority in Asia and Africa |
