# Incidence of Selected Infectious Diseases and Recommended First-Line Treatments (Adults)

| Condition | Annual incidence (per 100,000) | Typical first-line therapy | Treatment duration | Notes |
|---|---:|---|---:|---|
| Community-acquired pneumonia | 250 | Amoxicillin or doxycycline | 5–7 days | Outpatient, low risk |
| Acute bacterial sinusitis | 1,000 | Amoxicillin-clavulanate | 5–10 days | Many cases viral |
| Uncomplicated cystitis (women) | 3,000 | Nitrofurantoin | 5 days | High recurrence |
| Gonorrhea | 200 | Ceftriaxone IM | Single dose | Treat partners |
| Chlamydia | 450 | Doxycycline | 7 days | Screen high-risk |
| Influenza (symptomatic) | 5,500 | Oseltamivir | 5 days | Best within 48h |
| Shingles (herpes zoster) | 350 | Valacyclovir | 7 days | Risk rises with age |
| Tuberculosis (active) | 2.8 | RIPE regimen | 6 months | Public health reporting |
| Clostridioides difficile infection | 150 | Vancomycin PO | 10 days | Recurrence common |
| Bacterial meningitis | 3 | Ceftriaxone + vancomycin | 7–14 days | Emergency care |
| Hepatitis C (new infections) | 20 | Direct-acting antivirals | 8–12 weeks | Curative therapy |
| HIV (new diagnoses) | 12 | ART (integrase-based) | Lifelong | Linkage to care |
