# Apple iPod Product Lines and Major Generations (Overview)

| iPod line | Major generation / release | Release year | Typical form factor | Distinguishing traits (high-level) | Status |
|---|---:|---:|---|---|---|
| iPod (Classic) | 1st gen | 2001 | Hard-drive player | Original click wheel era begins (early models used a scroll wheel) | Discontinued |
| iPod (Classic) | 2nd gen | 2002 | Hard-drive player | Improved touch wheel controls; refined design | Discontinued |
| iPod (Classic) | 3rd gen | 2003 | Hard-drive player | Touch-sensitive buttons above wheel; dock connector era | Discontinued |
| iPod (Classic) | 4th gen | 2004 | Hard-drive player | Click Wheel introduced; larger ecosystem support | Discontinued |
| iPod (Classic) | 5th gen ("iPod with video") | 2005 | Hard-drive player | Video playback added; common 30/60GB era | Discontinued |
| iPod (Classic) | 6th gen ("classic") | 2007 | Hard-drive player | Thinner redesign; higher capacities | Discontinued |
| iPod (Classic) | 7th gen (refresh) | 2009 | Hard-drive player | Storage refresh; last classic generation | Discontinued |
| iPod mini | 1st gen | 2004 | Compact hard-drive player | Smaller metal body; click wheel | Discontinued |
| iPod mini | 2nd gen | 2005 | Compact hard-drive player | Battery/storage improvements; final mini | Discontinued |
| iPod nano | 1st gen | 2005 | Flash player | Replaced mini; slim color screen | Discontinued |
| iPod nano | 2nd gen | 2006 | Flash player | Aluminum body; improved battery | Discontinued |
| iPod shuffle | 1st gen | 2005 | Clipless flash stick | Screenless; USB cap style | Discontinued |
| iPod shuffle | 2nd gen | 2006 | Clip-on flash | Very small clip design; screenless | Discontinued |
| iPod touch | 1st gen | 2007 | Multi-touch media player | iPhone-like interface; Wi‑Fi; apps later | Discontinued |
| iPod touch | 2nd gen | 2008 | Multi-touch media player | Curved back; performance refresh | Discontinued |
| iPod touch | 3rd gen | 2009 | Multi-touch media player | Faster hardware; capacity changes | Discontinued |
| iPod touch | 4th gen | 2010 | Multi-touch media player | Retina display; cameras added | Discontinued |
| iPod touch | 5th gen | 2012 | Multi-touch media player | Taller 4-inch display; new colors | Discontinued |
| iPod touch | 6th gen | 2015 | Multi-touch media player | Major performance refresh (A8 era) | Discontinued |
| iPod touch | 7th gen | 2019 | Multi-touch media player | Last touch; performance refresh (A10 era) | Discontinued |
