# Most Downloaded Movies via BitTorrent (Weekly Snapshot)

| Rank | Title | Release Year | Common File Tag | Typical Source | Notes |
| --- | --- | --- | --- | --- | --- |
| 1 | The Dark Knight | 2008 | 1080p.BluRay | Public swarms | Example of high-volume title |
| 2 | Tropic Thunder | 2008 | DVDRip | Public swarms | Frequently re-shared |
| 3 | WALL-E | 2008 | BRRip | Public swarms | Popular animated title |
| 4 | Taken | 2008 | 720p | Public swarms | Many duplicates |
| 5 | Step Brothers | 2008 | XviD | Public swarms | Older codec tags |
| 6 | Max Payne | 2008 | CAM | Public swarms | Low quality tag |
| 7 | Burn After Reading | 2008 | DVDScr | Public swarms | Screeners |
| 8 | The Mummy: Tomb of the Dragon Emperor | 2008 | R5 | Public swarms | Region-encoded release |
| 9 | Traitor | 2008 | HDTV | Public swarms | TV capture tag |
| 10 | The Chronicles of Narnia: Prince Caspian | 2008 | 1080p | Public swarms | High-resolution |
