# Cosmic (Solar System) Elemental Composition by Mass in CI Chondrites (Proxy for 'cosmic' abundances)

| Element | Symbol | Mass fraction (%) | Rank | Proxy source | Caveat |
|---|---|---:|---:|---|---|
| Oxygen | O | 46.0 | 1 | CI chondrites | Meteorite-based, not the Sun directly |
| Magnesium | Mg | 14.0 | 2 | CI chondrites | Solar-nebula proxy |
| Silicon | Si | 10.5 | 3 | CI chondrites | |
| Iron | Fe | 18.5 | 4 | CI chondrites | Enhanced in rocks vs solar gas |
| Sulfur | S | 5.4 | 5 | CI chondrites | Volatile behavior |
| Carbon | C | 3.5 | 6 | CI chondrites | Strongly chemistry-dependent |
| Nickel | Ni | 1.1 | 7 | CI chondrites | |
| Calcium | Ca | 0.9 | 8 | CI chondrites | |
| Aluminum | Al | 0.8 | 9 | CI chondrites | |
| Sodium | Na | 0.5 | 10 | CI chondrites | |
