# Accessories and Add-ons for Used Phones  Cases, Chargers, Screen Protectors, and Power Banks

| Category | Example product | Compatible phones | Key specs | Typical used price (USD) | Notes |
| --- | --- | --- | --- | --- | --- |
| Case | Rugged TPU bumper | iPhone 11/12 | Drop rating: 2m | 5–12 | Adds bulk, improves resale protection |
| Case | Slim polycarbonate shell | Galaxy S10/S20 | Weight: ~25g | 4–10 | Minimal protection |
| Charger | 20W USB-C PD adapter | iPhone (USB-C to Lightning) | 20W PD | 8–18 | Fast charging depends on cable |
| Charger | 25W USB-C PPS adapter | Samsung mid/high-end | 25W PPS | 10–20 | Super Fast Charging support varies |
| Cable | USB-C to USB-C (3A) | Android/USB-C iPads | 60W max | 3–8 | Data rate varies |
| Screen protector | Tempered glass | Pixel 5 | 9H hardness | 3–8 | Can affect fingerprint sensors |
| Battery pack | 10,000 mAh power bank | Most phones | 18W PD | 10–25 | Airline friendly |
| Earbuds | Bluetooth earbuds | Most phones | BT 5.x | 12–40 | Latency varies |
| SIM tool kit | SIM ejector + trays | Various | N/A | 1–5 | Useful for frequent swapping |
| Car mount | Magnetic vent mount | Most phones | N/A | 5–15 | Requires metal plate |
