# Weekly Box Office Chart (Ranked by Weekend, Not Lifetime Gross per Movie)

| Weekend (US) | Rank | Title | Distributor | Weekend Gross (USD) | % Change | Theaters | Per-Theater Avg | Total Gross to Date (USD) |
| --- | ---: | --- | --- | ---: | ---: | ---: | ---: | ---: |
| 2024-07-05 | 1 | Despicable Me 4 | Universal | $75,200,000 | n/a | 4,100 | $18,341 | $75,200,000 |
| 2024-07-05 | 2 | Inside Out 2 | Disney | $30,800,000 | -41% | 4,000 | $7,700 | $533,900,000 |
| 2024-07-05 | 3 | A Quiet Place: Day One | Paramount | $21,500,000 | -52% | 3,600 | $5,972 | $98,700,000 |
| 2024-07-05 | 4 | Bad Boys: Ride or Die | Sony | $9,600,000 | -35% | 3,100 | $3,097 | $173,400,000 |
| 2024-07-05 | 5 | Kingdom of the Planet of the Apes | Disney | $6,100,000 | -28% | 2,700 | $2,259 | $159,800,000 |
| 2024-07-12 | 1 | Inside Out 2 | Disney | $28,100,000 | -9% | 4,050 | $6,938 | $562,000,000 |
| 2024-07-12 | 2 | Despicable Me 4 | Universal | $24,700,000 | -67% | 4,120 | $5,995 | $135,400,000 |
| 2024-07-12 | 3 | Twisters | Universal | $22,900,000 | n/a | 3,850 | $5,948 | $22,900,000 |
| 2024-07-12 | 4 | Longlegs | Neon | $10,200,000 | n/a | 2,900 | $3,517 | $10,200,000 |
