# Systemic Antifungal Medications  Generic Brand Mapping, Spectrum Focus, and Route

| Antifungal class | Generic name | Brand examples | Route(s) | Spectrum / infection focus (therapy-centered) | Practical notes |
|---|---|---|---|---|---|
| Triazole | Fluconazole | Diflucan | Oral, IV | Candida (mucosal/invasive), cryptococcal suppression | Common systemic azole; often chosen for susceptible Candida |
| Triazole | Itraconazole | Sporanox, Onmel | Oral | Dermatophytes/onychomycosis, some endemic mycoses | Formulation-dependent absorption; used for nail and some systemic infections |
| Triazole | Voriconazole | Vfend | Oral, IV | Aspergillosis (treatment-focused) | Often first-line for invasive aspergillosis in many protocols |
| Triazole | Posaconazole | Noxafil | Oral, IV | Broad mold and yeast coverage | Used when broader mold activity needed; multiple formulations |
| Triazole | Isavuconazole | Cresemba | Oral, IV | Aspergillus and Mucorales (invasive disease) | Broad mold-active azole option |
| Polyene | Amphotericin B (deoxycholate) | Fungizone | IV | Broad severe systemic fungal infections | High toxicity potential; reserved for serious disease |
| Polyene (lipid formulations) | Liposomal amphotericin B | AmBisome | IV | Broad severe systemic fungal infections | Lipid formulations improve tolerability vs deoxycholate |
| Echinocandin | Caspofungin | Cancidas | IV | Invasive candidiasis; some activity vs Aspergillus (salvage/combination) | Yeast-focused IV option; minimal drug interactions vs azoles |
| Echinocandin | Micafungin | Mycamine | IV | Candidemia/invasive Candida; esophageal candidiasis | Common inpatient IV therapy for invasive Candida |
| Echinocandin | Anidulafungin | Eraxis | IV | Candidemia/invasive candidiasis | Few interactions; no renal dose adjustment in many cases |
| Antimetabolite | Flucytosine | Ancobon | Oral | Cryptococcosis (in combination), some Candida | Typically combined (e.g., with amphotericin B) to prevent resistance |
| Allylamine | Terbinafine | Lamisil | Oral | Onychomycosis and dermatophyte tinea | Oral therapy for nail disease; course length often weeks to months |
| Griseofulvin (other) | Griseofulvin | Gris-PEG, Grifulvin V | Oral | Dermatophyte infections (skin/scalp) | Historically common for tinea capitis; prolonged courses |
| Triterpenoid | Ibrexafungerp | Brexafemme | Oral | Candida (selected indications) | Oral non-azole antifungal option for Candida-focused therapy |
