# Beijing 2008 Olympic Games — Selected Swimming Gold Medal Winners by Event (Men & Women)

| Sport | Event | Gold Medal Winner | Country | Notes |
|---|---|---|---|---|
| Swimming | Men’s 100 m freestyle | Alain Bernard | France | Final: 47.21 |
| Swimming | Men’s 1500 m freestyle | Oussama Mellouli | Tunisia | Final: 14:40.84 |
| Swimming | Men’s 100 m butterfly | Michael Phelps | United States | Final: 50.58 |
| Swimming | Men’s 200 m butterfly | Michael Phelps | United States | Final: 1:52.03 |
| Swimming | Men’s 200 m individual medley | Michael Phelps | United States | Final: 1:54.23 |
| Swimming | Women’s 200 m freestyle | Federica Pellegrini | Italy | Final: 1:54.82 |
| Swimming | Women’s 400 m freestyle | Stephanie Rice | Australia | Final: 4:03.29 |
| Swimming | Women’s 100 m backstroke | Natalie Coughlin | United States | Final: 58.96 |
| Swimming | Women’s 200 m backstroke | Kirsty Coventry | Zimbabwe | Final: 2:05.24 |
| Swimming | Women’s 200 m breaststroke | Rebecca Soni | United States | Final: 2:20.22 |
| Swimming | Women’s 400 m individual medley | Stephanie Rice | Australia | Final: 4:29.45 |
| Swimming | Women’s 10 km marathon | Larisa Ilchenko | Russia | Open water |
