# ISP Traffic Shaping Policies Affecting BitTorrent

| ISP | Country/Region | BitTorrent Throttling Reported | Peak-Hour Shaping | Notes | Suggested Mitigation |
|---|---|---|---|---|---|
| Comcast | US | Yes | Yes | Congestion-based policies | Use VPN / change ports |
| BT | UK | Sometimes | Yes | Varies by plan | Avoid peak hours |
| Telstra | AU | Sometimes | Yes | Fair-use clauses | Monitor quota |
| Rogers | CA | Yes | Yes | P2P shaping complaints | Use encryption |
| Orange | FR | Sometimes | Yes | Historical P2P limits | Use VPN |
| Vodafone | DE | No clear evidence | No | Mostly neutral | N/A |
| Airtel | IN | Sometimes | Yes | Mobile network congestion | Use off-peak |
| Telefónica | ES | Sometimes | Yes | Region dependent | Use VPN |
| KPN | NL | No | No | Generally neutral | N/A |
| T-Mobile | US | Sometimes | Yes | Mobile prioritization | Off-peak |
