# Cause-of-Death Abbreviations and Synonyms Used in Reports (Human)

| Report label | Common abbreviation | Synonyms in clinical notes | Typical age group mentioned | Data source wording | Caveats | Not a count |
|---|---|---|---|---|---|---|
| Heart disease | HD | IHD, CHD, MI | Adult/older | "Diseases of the heart" | Category varies by coding | Yes |
| Cancer | CA | Malignancy, neoplasm | All ages | "Malignant neoplasms" | Site-specific not shown | Yes |
| Stroke | CVA | Cerebrovascular accident | Older | "Cerebrovascular diseases" | Can include hemorrhagic/ischemic | Yes |
| COPD | COPD | Emphysema, chronic bronchitis | Older | "Chronic lower respiratory diseases" | Sometimes includes asthma | Yes |
| Diabetes | DM | Type 1, Type 2 | Adult | "Diabetes mellitus" | Contributory cause often | Yes |
| Pneumonia | PNA | Lower respiratory infection | Elderly | "Influenza and pneumonia" | Viral vs bacterial mixed | Yes |
| Kidney disease | CKD | Renal failure, ESRD | Older | "Nephritis, nephrotic syndrome, nephrosis" | Grouping differs by ICD | Yes |
| Sepsis | Sepsis | Septicemia, septic shock | Hospitalized | "Septicemia" | Underreported on certificates | Yes |
| Alzheimer's | AD | Dementia, neurocognitive disorder | Older | "Alzheimer's disease" | Not all dementia captured | Yes |
