# Leading Causes of Death by Cause-of-Death Mortality — United States, 2006 (Females vs Males)

| Rank | Cause of death | Female deaths (count) | Male deaths (count) |
|---:|---|---:|---:|
| 1 | Diseases of heart | 315,930 | 315,706 |
| 2 | Malignant neoplasms (cancer) | 269,819 | 290,069 |
| 3 | Cerebrovascular diseases (stroke) | 82,595 | 54,524 |
| 4 | Chronic lower respiratory diseases | 65,323 | 59,260 |
| 5 | Accidents (unintentional injuries) | 42,658 | 78,941 |
| 6 | Diabetes mellitus | 36,443 | 36,006 |
| 7 | Alzheimer's disease | 51,281 | 21,151 |
| 8 | Influenza and pneumonia | 30,676 | 25,650 |
| 9 | Nephritis, nephrotic syndrome and nephrosis | 23,250 | 22,094 |
| 10 | Septicemia | 18,712 | 15,522 |
