# Leading causes of death by cause (Adults 65+), selected causes and ranks

| Rank | Cause of death | Notes |
| --- | --- | --- |
| 1 | Heart disease | Includes ischemic heart diseases |
| 2 | Cancer (malignant neoplasms) | All cancer sites |
| 3 | Stroke (cerebrovascular diseases) | Includes cerebral infarction/hemorrhage |
| 4 | Chronic lower respiratory diseases | COPD, emphysema, chronic bronchitis |
| 5 | Alzheimer’s disease | Neurodegenerative |
| 6 | Diabetes mellitus | Type 1 and Type 2 |
| 7 | Influenza and pneumonia | Respiratory infections |
| 8 | Kidney disease (nephritis/nephrosis) | Renal failure and related |
| 9 | Unintentional injuries | Falls, motor vehicle injuries |
| 10 | Septicemia | Bloodstream infection |
