# Broadway Musicals (Original Productions) — Directing Credits (Credits-Style List)

| Show Title | Broadway Production (Original) | Director | Notes (Broadway context) |
|---|---|---|---|
| The Phantom of the Opera | 1988 | Harold Prince | Original Broadway staging |
| Les Misérables | 1987 | Trevor Nunn; John Caird | Co-directed Broadway production |
| Cats | 1982 | Trevor Nunn | Original Broadway production |
| Sweeney Todd: The Demon Barber of Fleet Street | 1979 | Harold Prince | Original Broadway production |
| A Chorus Line | 1975 | Michael Bennett | Directed & choreographed (director credit included) |
| Company | 1970 | Harold Prince | Original Broadway production |
| Hair | 1968 | Tom O'Horgan | Original Broadway production |
| West Side Story | 1957 | Jerome Robbins | Original Broadway production |
| My Fair Lady | 1956 | Moss Hart | Original Broadway production |
