# Olympus Four Thirds (Zuiko Digital) interchangeable DSLR lenses — representative lineup and naming

| Category | Lens family | Lens model (Four Thirds mount) | Focal length | Max aperture | Notes |
|---|---|---|---|---|---|
| Standard zooms | Zuiko Digital | 14-45mm f/3.5-5.6 | 14–45mm | f/3.5–5.6 | Common kit zoom for Olympus DSLR bodies |
| Standard zooms | Zuiko Digital | 14-54mm f/2.8-3.5 | 14–54mm | f/2.8–3.5 | Brighter standard zoom option |
| Standard zooms | Zuiko Digital | 12-60mm f/2.8-4.0 SWD | 12–60mm | f/2.8–4.0 | SWD focusing; higher-end standard zoom |
| Wide zooms | Zuiko Digital | 9-18mm f/4.0-5.6 | 9–18mm | f/4.0–5.6 | Ultra-wide coverage in the Four Thirds system |
| Wide zooms | Zuiko Digital | 7-14mm f/4.0 | 7–14mm | f/4.0 | Pro-grade ultra-wide zoom |
| Tele zooms | Zuiko Digital | 40-150mm f/4.0-5.6 | 40–150mm | f/4.0–5.6 | Entry telephoto zoom often paired with kit zoom |
| Tele zooms | Zuiko Digital | 50-200mm f/2.8-3.5 SWD | 50–200mm | f/2.8–3.5 | High-performance tele zoom; SWD variant exists |
| Tele zooms | Zuiko Digital | 70-300mm f/4.0-5.6 | 70–300mm | f/4.0–5.6 | Long reach option in the Four Thirds lineup |
| Prime lenses | Zuiko Digital | 25mm f/2.8 (pancake) | 25mm | f/2.8 | Compact prime for Olympus digital SLRs |
| Prime lenses | Zuiko Digital | 50mm f/2.0 Macro | 50mm | f/2.0 | Macro lens; also used for portraits |
| Prime lenses | Zuiko Digital | 35mm f/3.5 Macro | 35mm | f/3.5 | Compact macro option |
| Pro primes | Zuiko Digital (High Grade/Pro) | 14-35mm f/2.0 | 14–35mm | f/2.0 | Constant f/2 pro zoom (often referenced as "Pro") |
| Pro primes | Zuiko Digital (High Grade/Pro) | 35-100mm f/2.0 | 35–100mm | f/2.0 | Constant f/2 pro tele zoom |
| Super-tele | Zuiko Digital (Super High Grade) | 300mm f/2.8 | 300mm | f/2.8 | Top-tier super-telephoto in the system |
| Super-tele | Zuiko Digital (Super High Grade) | 90-250mm f/2.8 | 90–250mm | f/2.8 | High-end super-tele zoom |
| Specialty | Zuiko Digital | 8mm f/3.5 Fisheye | 8mm | f/3.5 | Fisheye lens option for Four Thirds bodies |
