# Olympus Four Thirds DSLR Lens Lineup (with Compatible Bodies and Notes)

| Category | Lens model | Focal length | Max aperture | Mount | Compatible Olympus DSLR bodies (examples) | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| Standard Zoom | Zuiko Digital 14-54mm f/2.8-3.5 | 14-54mm | f/2.8-3.5 | Four Thirds | E-1, E-300, E-500, E-3 | Weather-sealed on some kits |
| Standard Zoom | Zuiko Digital 14-45mm f/3.5-5.6 | 14-45mm | f/3.5-5.6 | Four Thirds | E-300, E-500, E-410, E-510 | Common kit lens |
| Standard Zoom | Zuiko Digital 12-60mm f/2.8-4.0 SWD | 12-60mm | f/2.8-4.0 | Four Thirds | E-3, E-30, E-520 | SWD focusing |
| Tele Zoom | Zuiko Digital 50-200mm f/2.8-3.5 SWD | 50-200mm | f/2.8-3.5 | Four Thirds | E-3, E-1, E-30 | Pro tele zoom |
| Ultra Wide Zoom | Zuiko Digital 7-14mm f/4.0 | 7-14mm | f/4.0 | Four Thirds | E-1, E-3, E-30 | Pro ultra-wide |
| Prime | Zuiko Digital 50mm f/2.0 Macro | 50mm | f/2.0 | Four Thirds | E-1, E-500, E-3 | 1:2 macro |
| Prime | Zuiko Digital 25mm f/2.8 Pancake | 25mm | f/2.8 | Four Thirds | E-410, E-420, E-510 | Compact prime |
| Accessory | Olympus MMF-2 Adapter | — | — | Adapter | E-P series (Micro Four Thirds) | For using Four Thirds lenses |
| Accessory | Olympus FL-50R Flash | — | — | Hot shoe | E-3, E-30, E-520 | Wireless RC flash |
| Body | Olympus E-3 (reference) | — | — | Four Thirds | — | Included for lineup context |
