# Global Policy Interest Rates by Central Bank (End of Year), 2022–2024

| Economy | Central Bank | Policy Rate Name | 2022-12 | 2023-12 | 2024-06 |
|---|---|---|---:|---:|---:|
| United States | Federal Reserve | Federal Funds Target (Upper) | 4.50% | 5.50% | 5.50% |
| Euro Area | ECB | Main Refinancing Operations | 2.50% | 4.50% | 4.25% |
| United Kingdom | Bank of England | Bank Rate | 3.50% | 5.25% | 5.25% |
| Japan | Bank of Japan | Policy Rate | -0.10% | -0.10% | 0.10% |
| Canada | Bank of Canada | Target Overnight Rate | 4.25% | 5.00% | 5.00% |
| Australia | RBA | Cash Rate Target | 3.10% | 4.35% | 4.35% |
| India | RBI | Repo Rate | 6.25% | 6.50% | 6.50% |
| Brazil | Banco Central do Brasil | Selic | 13.75% | 11.75% | 10.50% |
| South Africa | SARB | Repo Rate | 7.00% | 8.25% | 8.25% |
| Mexico | Banxico | Target Rate | 10.50% | 11.25% | 11.00% |
