# PGA Tour Leaderboard (Pre-Tournament Picks and Projected Finishes)

| Projected Finish | Player | Projected To-Par | Win Probability | Top-10 Probability | Model Notes |
|---|---|---:|---:|---:|---|
| 1 | Scottie Scheffler | -14 | 18.5% | 46.2% | Strong tee-to-green baseline |
| 2 | Rory McIlroy | -13 | 12.1% | 39.8% | High driving + approach trend |
| T3 | Viktor Hovland | -12 | 7.4% | 28.6% | Recent ball-striking spike |
| T3 | Xander Schauffele | -12 | 7.0% | 27.9% | Consistent major performance |
| 5 | Collin Morikawa | -11 | 6.2% | 25.1% | Elite irons, putting volatile |
| 6 | Ludvig Åberg | -10 | 4.9% | 20.7% | Debut course fit projection |
| 7 | Justin Thomas | -9 | 4.1% | 18.3% | Bounce-back indicator |
| 8 | Jordan Spieth | -8 | 3.6% | 16.9% | Short game upside |
| 9 | Max Homa | -8 | 3.1% | 15.0% | Strong on similar setups |
| 10 | Patrick Cantlay | -7 | 2.9% | 14.2% | Low-variance scoring |
| 11 | Tony Finau | -7 | 2.5% | 12.8% | Birdie rate favorable |
| 12 | Hideki Matsuyama | -6 | 2.2% | 11.6% | Health uncertainty |
