# Solar Photosphere Composition by Element (Mass Fraction and Number Fraction)

| Element | Symbol | Atomic Number | Mass Fraction (%) | Number Fraction (%) | Notes |
|---|---:|---:|---:|---:|---|
| Hydrogen | H | 1 | 73.8 | 92.0 | Dominant by atom count |
| Helium | He | 2 | 24.8 | 7.8 | Second most abundant |
| Oxygen | O | 8 | 0.78 | 0.04 | Leading heavy element |
| Carbon | C | 6 | 0.30 | 0.02 | Important contributor to metallicity |
| Neon | Ne | 10 | 0.17 | 0.01 | Noble gas; inferred from spectroscopy/corona |
| Iron | Fe | 26 | 0.14 | 0.003 | High mass contribution among metals |
| Nitrogen | N | 7 | 0.09 | 0.006 |  |
| Silicon | Si | 14 | 0.07 | 0.002 |  |
| Magnesium | Mg | 12 | 0.06 | 0.002 |  |
| Sulfur | S | 16 | 0.04 | 0.001 |  |
| Other elements ("metals") | — | — | 0.74 | 0.12 | Sum of remaining trace elements |
| Total | — | — | 100.0 | 100.0 | Rounded totals |
