# Antimicrobial Products Catalog for Infection Management (Product-Centered)

| Product name | Active ingredient(s) | Form | Indicated for (broad) | Typical use directions | Restrictions |
|---|---|---|---|---|---|
| Triple antibiotic ointment | Bacitracin + neomycin + polymyxin B | Topical ointment | Minor cuts/scrapes (infection prevention) | Apply 1–3×/day | Avoid large areas; allergy possible |
| Miconazole 2% cream | Miconazole nitrate | Topical cream | Superficial fungal skin infections | Apply BID | Not for ophthalmic use |
| Clotrimazole 1% cream | Clotrimazole | Topical cream | Tinea/rash (fungal) | Apply BID for 2–4 weeks | Keep area dry |
| Povidone-iodine solution | Iodine complex | Antiseptic liquid | Skin antisepsis | Apply to intact skin | Avoid in iodine allergy |
| Chlorhexidine wash | Chlorhexidine gluconate | Cleanser | Pre-op/skin decolonization | Use as directed | Eye/ear exposure avoided |
| Benzoyl peroxide wash | Benzoyl peroxide | Cleanser | Acne-related bacterial load reduction | Daily/BID | Bleaches fabrics |
| Oral rehydration solution | Glucose + electrolytes | Solution | Diarrheal illness support | Frequent small sips | Not an antimicrobial |
| Probiotic capsules | Lactobacillus spp. | Capsule | Antibiotic-associated diarrhea prevention | Daily | Evidence varies |
| Saline nasal spray | Sodium chloride | Spray | Symptom relief in URIs | PRN | Supportive only |
| Zinc lozenges | Zinc salts | Lozenges | Common cold symptom reduction | Per label | Taste/GI upset |
