# Selected Sexually Transmitted and Parasitic Infections  Recommended Treatments (Condition-First Layout)

| Infection | Key clinical note | Recommended treatment (examples) | Key alternatives/adjuncts | Typical duration |
| --- | --- | --- | --- | --- |
| Chlamydial cervicitis/urethritis | Often asymptomatic; treat partners | Doxycycline | Azithromycin (single dose option in some cases); pregnancy-specific regimens differ | 7 days (common) |
| Gonorrhea (uncomplicated) | Use recommended cephalosporin regimen; treat chlamydia if not excluded | Ceftriaxone | If ceftriaxone unavailable: alternative regimens per local guidance | Single dose (common) |
| Trichomoniasis | Treat partners; avoid alcohol with nitroimidazoles | Metronidazole or tinidazole | Longer-course metronidazole for persistent infection | 1–7 days |
| Primary syphilis | Serologic follow-up | Benzathine penicillin G | Doxycycline (penicillin allergy, non-pregnant); desensitization in pregnancy | Single dose (common) |
| Pelvic inflammatory disease (outpatient) | Polymicrobial; include anaerobe coverage | Ceftriaxone + doxycycline + metronidazole | Cephalosporin allergy regimens per guidance | 14 days |
| Bacterial vaginosis | Fishy odor, clue cells | Metronidazole (oral or gel) | Clindamycin (oral or cream) | 5–7 days (typical) |
| Genital herpes (first episode) | Earlier treatment helps | Acyclovir or valacyclovir | Famciclovir | 7–10 days |
| Scabies | Treat close contacts; decontaminate bedding | Permethrin 5% cream | Oral ivermectin (often repeated) | Single application; repeat in 1 week often |
| Giardiasis | Watery diarrhea after travel/camping | Tinidazole or metronidazole | Nitazoxanide | 1–7 days |
| Pinworm (Enterobiasis) | Treat household; repeat dose | Albendazole or mebendazole | Pyrantel pamoate | Single dose; repeat in 2 weeks |
| Malaria (uncomplicated, species/region dependent) | Regimen depends on resistance and species | Artemether-lumefantrine or atovaquone-proguanil | Chloroquine (sensitive areas); quinine-based regimens | 3 days (common) |
