# WWE Intercontinental Championship (selected reigns, timeline view)

| Wrestler | Reign | Title Held | Start to End (MM/DD/YY to MM/DD/YY) | Won From | Lost To | Notes |
|---|---:|---|---|---|---|---|
| The Rock | 1 | WWE Intercontinental Championship | 11/08/98 to 02/15/99 | Ken Shamrock | Road Dogg | Ended at St. Valentine's Day Massacre period |
| Road Dogg | 1 | WWE Intercontinental Championship | 02/15/99 to 03/28/99 | The Rock | Goldust | Short run |
| Goldust | 3 | WWE Intercontinental Championship | 03/28/99 to 04/25/99 | Road Dogg | The Godfather | Won at WrestleMania XV era |
| The Godfather | 1 | WWE Intercontinental Championship | 04/25/99 to 05/23/99 | Goldust | Jeff Jarrett | |
| Jeff Jarrett | 4 | WWE Intercontinental Championship | 05/23/99 to 06/27/99 | The Godfather | Edge | |
| Edge | 1 | WWE Intercontinental Championship | 06/27/99 to 07/25/99 | Jeff Jarrett | Jeff Jarrett | Lost in a rematch |
| Jeff Jarrett | 5 | WWE Intercontinental Championship | 07/25/99 to 08/22/99 | Edge | D'Lo Brown | |
| D'Lo Brown | 1 | WWE Intercontinental Championship | 08/22/99 to 10/14/99 | Jeff Jarrett | Val Venis | |
| Val Venis | 1 | WWE Intercontinental Championship | 10/14/99 to 12/12/99 | D'Lo Brown | Chris Jericho | |
| Chris Jericho | 1 | WWE Intercontinental Championship | 12/12/99 to 02/09/00 | Val Venis | Kurt Angle | |
| Kurt Angle | 1 | WWE Intercontinental Championship | 02/09/00 to 04/02/00 | Chris Jericho | Chris Benoit | |
