# Beijing 2008 — Athletics Gold Medals by Event (Country Winners Only)

| Sport | Discipline | Event | Gold Country | Silver Country | Bronze Country |
|---|---|---|---|---|---|
| Athletics | Track | Men's 100m | Jamaica | Trinidad and Tobago | United States |
| Athletics | Track | Men's 200m | Jamaica | Namibia | United States |
| Athletics | Track | Men's 400m | United States | Bahamas | Great Britain |
| Athletics | Track | Women's 100m | Jamaica | Jamaica | Jamaica |
| Athletics | Track | Women's 400m | Great Britain | Jamaica | Russia |
| Athletics | Field | Men's Long Jump | Panama | United States | Cuba |
| Athletics | Field | Women's High Jump | Belgium | Croatia | United States |
| Athletics | Field | Men's Javelin Throw | Norway | Latvia | Finland |
| Athletics | Road | Men's Marathon | Kenya | Morocco | Ethiopia |
| Athletics | Road | Women's Marathon | Kenya | China | Ethiopia |
| Athletics | Combined | Men's Decathlon | United States | Belarus | Kazakhstan |
