# Laptop CPU Options Table — Emphasizes Base Turbo Frequencies Over CPU Model Names

| Laptop model | CPU entry (frequency-first) | Base / Turbo | Core count | Comment |
| --- | --- | --- | --- | --- |
| AeroNote 15 | 2.6 GHz quad-core | 2.6 / 4.1 GHz | 4 | CPU name omitted |
| CityBook 14 | 1.8 GHz dual-core | 1.8 / 3.4 GHz | 2 | Only speed profile given |
| Campus 13 | 2.0 GHz | 2.0 / 3.8 GHz | 4 | No family listed |
| HomePro 16 | 3.0 GHz | 3.0 / 4.6 GHz | 6 | Frequency-centric |
| LiteGo 12 | 1.1 GHz | 1.1 / 2.8 GHz | 2 | ULV implied, not named |
| GameBox 17 | 2.9 GHz | 2.9 / 5.0 GHz | 8 | Missing chip model |
| Studio 15 | 2.3 GHz | 2.3 / 4.2 GHz | 6 | No CPU identifier |
| Travel 14 | 1.6 GHz | 1.6 / 3.0 GHz | 2 | “Low power” only |
| WorkMate 15 | 2.4 GHz | 2.4 / 4.0 GHz | 4 | No i5/Ryzen naming |
| NoteFlex 13 | 1.9 GHz | 1.9 / 3.6 GHz | 4 | Model absent |
| FamilyBook 15 | 2.2 GHz | 2.2 / 3.9 GHz | 4 | Hard to compare CPU family |
