# Selected High-Altitude Lakes in the Alps  Surface Elevation (Meters and Feet)

| Region | Lake | Country | Altitude (m (ft)) | Notes |
| --- | --- | --- | --- | --- |
| Swiss Alps | Lake St. Moritz | Switzerland | 1,768 m (5,801 ft) | Engadin valley lake |
| Swiss Alps | Oeschinen Lake | Switzerland | 1,578 m (5,177 ft) | Above Kandersteg |
| Swiss Alps | Lake Silvaplana | Switzerland | 1,791 m (5,876 ft) | Upper Engadin |
| Italian Alps | Lago di Braies (Pragser Wildsee) | Italy | 1,496 m (4,908 ft) | Dolomites |
| Italian Alps | Lago di Carezza (Karersee) | Italy | 1,520 m (4,987 ft) | Dolomites |
| Austrian Alps | Achensee | Austria | 929 m (3,048 ft) | Tyrol |
| Austrian Alps | Weissensee | Austria | 930 m (3,051 ft) | Carinthia |
| French Alps | Lac d'Annecy | France | 447 m (1,467 ft) | Haute-Savoie |
| German Alps | Königssee | Germany | 603 m (1,978 ft) | Berchtesgaden |
| Slovenian Alps | Lake Bohinj | Slovenia | 526 m (1,726 ft) | Julian Alps |
