# Nutritional Comparison of Common Healthy Foods (per 100 g, edible portion)

| Food | Calories (kcal) | Protein (g) | Total Fat (g) | Sat Fat (g) | Carbs (g) | Fiber (g) | Sugars (g) | Sodium (mg) | Potassium (mg) | Calcium (mg) | Iron (mg) | Vitamin C (mg) | Vitamin A (µg RAE) |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| Oats, rolled (dry) | 389 | 16.9 | 6.9 | 1.2 | 66.3 | 10.6 | 0.9 | 2 | 429 | 54 | 4.7 | 0.0 | 0 |
| Greek yogurt, plain nonfat | 59 | 10.3 | 0.4 | 0.1 | 3.6 | 0.0 | 3.6 | 36 | 141 | 110 | 0.1 | 0.0 | 5 |
| Lentils, cooked | 116 | 9.0 | 0.4 | 0.1 | 20.1 | 7.9 | 1.8 | 2 | 369 | 19 | 3.3 | 1.5 | 8 |
| Salmon, Atlantic (cooked) | 206 | 22.1 | 12.4 | 3.1 | 0.0 | 0.0 | 0.0 | 59 | 384 | 9 | 0.3 | 0.0 | 40 |
| Eggs, whole (cooked) | 155 | 13.0 | 11.0 | 3.3 | 1.1 | 0.0 | 1.1 | 124 | 126 | 50 | 1.2 | 0.0 | 140 |
| Sweet potato, baked (with skin) | 90 | 2.0 | 0.2 | 0.0 | 20.7 | 3.3 | 6.5 | 36 | 475 | 38 | 0.7 | 19.6 | 961 |
| Blueberries, raw | 57 | 0.7 | 0.3 | 0.0 | 14.5 | 2.4 | 10.0 | 1 | 77 | 6 | 0.3 | 9.7 | 3 |
| Broccoli, raw | 34 | 2.8 | 0.4 | 0.0 | 6.6 | 2.6 | 1.7 | 33 | 316 | 47 | 0.7 | 89.2 | 31 |
| Almonds, raw | 579 | 21.2 | 49.9 | 3.8 | 21.6 | 12.5 | 4.4 | 1 | 733 | 269 | 3.7 | 0.0 | 1 |
| Avocado, raw | 160 | 2.0 | 14.7 | 2.1 | 8.5 | 6.7 | 0.7 | 7 | 485 | 12 | 0.6 | 10.0 | 7 |
