# Moon-Related Metrics  Synodic  Sidereal Periods and Phase Angles

| Quantity | Symbol | Typical value | Units | Example use |
| --- | --- | --- | --- | --- |
| Synodic month | S | 29.5306 | days | Time from New Moon to New Moon |
| Sidereal month | P_s | 27.3217 | days | Orbit relative to stars |
| Draconic month | P_d | 27.2122 | days | Eclipse season calculations |
| Anomalistic month | P_a | 27.5546 | days | Perigee/apogee cycle |
| New Moon phase angle | α | 0 | degrees | Conjunction |
| First Quarter phase angle | α | 90 | degrees | Quadrature |
| Full Moon phase angle | α | 180 | degrees | Opposition |
| Last Quarter phase angle | α | 270 | degrees | Quadrature |
| Mean lunar distance | a | 384,400 | km | Tides/scale |
| Mean orbital eccentricity | e | 0.0549 | — | Distance variation |
