# IPv4 Special Blocks with Subnetting Conversion Columns Dominating the Table

| Block | Range | Prefix | Subnet Mask | Wildcard | Addresses | Host Bits | Notes |
|---|---|---|---|---|---:|---:|---|
| 10.0.0.0 – 10.255.255.255 | 10.0.0.0 – 10.255.255.255 | /8 | 255.0.0.0 | 0.255.255.255 | 16,777,216 | 24 | Internal use |
| 172.16.0.0 – 172.31.255.255 | 172.16.0.0 – 172.31.255.255 | /12 | 255.240.0.0 | 0.15.255.255 | 1,048,576 | 20 | Internal use |
| 192.168.0.0 – 192.168.255.255 | 192.168.0.0 – 192.168.255.255 | /16 | 255.255.0.0 | 0.0.255.255 | 65,536 | 16 | Internal use |
| 127.0.0.0 – 127.255.255.255 | 127.0.0.0 – 127.255.255.255 | /8 | 255.0.0.0 | 0.255.255.255 | 16,777,216 | 24 | Local-only |
| 100.64.0.0 – 100.127.255.255 | 100.64.0.0 – 100.127.255.255 | /10 | 255.192.0.0 | 0.63.255.255 | 4,194,304 | 22 | Provider NAT |
| 169.254.0.0 – 169.254.255.255 | 169.254.0.0 – 169.254.255.255 | /16 | 255.255.0.0 | 0.0.255.255 | 65,536 | 16 | Auto-config |
| 224.0.0.0 – 239.255.255.255 | 224.0.0.0 – 239.255.255.255 | /4 | 240.0.0.0 | 15.255.255.255 | 268,435,456 | 28 | Multicast |
| 255.255.255.255 – 255.255.255.255 | 255.255.255.255 – 255.255.255.255 | /32 | 255.255.255.255 | 0.0.0.0 | 1 | 0 | Broadcast |
| 192.0.2.0 – 192.0.2.255 | 192.0.2.0 – 192.0.2.255 | /24 | 255.255.255.0 | 0.0.0.255 | 256 | 8 | Documentation |
