# ACE Inhibitors (Drug Class) — Member Drugs with Indications and Common Forms

| Drug class | Generic name | Brand name(s) | Typical dosage form(s) | Common therapeutic use |
|---|---|---|---|---|
| ACE inhibitors | lisinopril | Prinivil, Zestril | oral tablet | hypertension, heart failure |
| ACE inhibitors | enalapril | Vasotec | oral tablet | hypertension |
| ACE inhibitors | ramipril | Altace | oral capsule | post-MI risk reduction |
| ACE inhibitors | captopril | Capoten | oral tablet | hypertension |
| ACE inhibitors | benazepril | Lotensin | oral tablet | hypertension |
| ACE inhibitors | perindopril | Aceon | oral tablet | hypertension |
| ACE inhibitors | quinapril | Accupril | oral tablet | hypertension |
| ACE inhibitors | fosinopril | Monopril | oral tablet | hypertension |
| ACE inhibitors | trandolapril | Mavik | oral capsule | hypertension |
| ACE inhibitors | moexipril | Univasc | oral tablet | hypertension |
