# Medical Debt Laws and Reporting Restrictions by State (Selected Provisions)

| State | Interest allowed on medical debt | Time limit to sue (SOL) | Credit reporting restriction | Required billing/notice rule |
|---|---|---:|---|---|
| California | Limited/varies | 4 years | Limits on reporting certain medical debts | Itemized billing requirements |
| Colorado | Limited/varies | 6 years | Some restrictions | Mandatory disclosures |
| New York | Limited/varies | 6 years | Restrictions on reporting under thresholds | Extra notice periods |
| Illinois | Limited/varies | 10 years (written) | Some restrictions | Financial assistance notice |
| Florida | Varies | 5 years (written) | Federal rules mainly | Provider notice requirements |
| Texas | Varies | 4 years | Federal rules mainly | Charity care disclosures |
| Washington | Limited/varies | 6 years | Some restrictions | Hospital charity care rules |
| Oregon | Limited/varies | 6 years | Some restrictions | Enhanced billing transparency |
| Nevada | Varies | 6 years | Federal rules mainly | Dispute/validation notices |
| Arizona | Varies | 6 years | Federal rules mainly | Collection practice limits |
| Massachusetts | Limited/varies | 6 years | Some restrictions | Protections for low income |
| Georgia | Varies | 6 years | Federal rules mainly | Collection notice rules |
