# Buckshot Pellet Sizes — Pellet Diameter and Pellet Count per Ounce

| Buckshot size | Pellet diameter (in / mm) | Pellets per 1 oz (approx.) | Typical application |
|---|---:|---:|---|
| #4 Buck | 0.240 / 6.10 | 21 | Small deer / defense |
| #3 Buck | 0.250 / 6.35 | 18 | Defense |
| #2 Buck | 0.270 / 6.86 | 15 | Defense |
| #1 Buck | 0.300 / 7.62 | 12 | Defense |
| 0 Buck | 0.320 / 8.13 | 9 | Defense |
| 00 Buck | 0.330 / 8.38 | 8 | Defense |
| 000 Buck | 0.360 / 9.14 | 6 | Defense |
| 0000 Buck | 0.380 / 9.65 | 5 | Specialty |
| SG | 0.340 / 8.64 | 7 | Regional |
