# Major Prophets and Wisdom Books  Parallel Book Titles by Version

| # | Common English Name | KJV | Latin Vulgate | Douay-Rheims | Luther Bible (German book name) |
|---:|---|---|---|---|---|
| 1 | Job | Job | Iob | Job | Hiob |
| 2 | Psalms | Psalms | Psalmi | Psalms | Psalmen |
| 3 | Proverbs | Proverbs | Proverbia | Proverbs | Sprüche |
| 4 | Ecclesiastes | Ecclesiastes | Ecclesiastes | Ecclesiastes | Prediger |
| 5 | Song of Solomon | Song of Solomon | Canticum Canticorum | Canticle of Canticles | Hohelied |
| 6 | Isaiah | Isaiah | Isaias | Isaias | Jesaja |
| 7 | Jeremiah | Jeremiah | Ieremias | Jeremias | Jeremia |
| 8 | Lamentations | Lamentations | Lamentationes | Lamentations | Klagelieder |
| 9 | Ezekiel | Ezekiel | Ezechiel | Ezechiel | Hesekiel |
| 10 | Daniel | Daniel | Daniel | Daniel | Daniel |
| 11 | Hosea | Hosea | Osee | Osee | Hosea |
| 12 | Joel | Joel | Ioel | Joel | Joel |
