# State Treatment of Capital Gains (Deductions, Exclusions, and Surtaxes)

| State | Special Treatment Type | Treatment Detail | Applies To | Notes |
| --- | --- | --- | --- | --- |
| Arizona | Partial exclusion | Percentage subtraction for certain gains | Some long-term assets | Simplified description |
| Arkansas | Exclusion | Excludes a portion of net capital gains | Capital gains generally | Rules vary by taxpayer |
| Colorado | Subtraction | State subtraction for qualifying gains | Certain in-state investments | Conditions apply |
| Idaho | Deduction | Deduction for certain capital gains | Qualifying gains | Holding period rules omitted |
| Illinois | No preference | Taxes as ordinary income | All gains | No separate rate |
| Massachusetts | Surtax | Additional surtax over income threshold | All income incl. gains | Threshold not shown |
| Minnesota | Credit/adjustment | Targeted credit for some investment income | Limited cases | Not a rate table |
| New Jersey | No preference | Taxes as ordinary income | All gains | No separate rate |
| South Carolina | Deduction | Deduction for net capital gains | Capital gains generally | Amount varies |
| Washington | Separate tax | State-level capital gains excise tax | Certain long-term gains | Short-term not addressed |
| Wisconsin | Exclusion | Partial exclusion based on holding period | Long-term assets | Rates not provided |
