# Retail FX Rates (Counter Service) — Client Buy Sell, Cash vs. TT, and Fees (Indicative)

| Currency | Unit | Bank Buys (Client Sells) Cash | Bank Buys (Client Sells) TT/Transfer | Bank Sells (Client Buys) Cash | Bank Sells (Client Buys) TT/Transfer | Commission / Fee | Notes |
|---|---:|---:|---:|---:|---:|---|---|
| USD | 1 | 132.10 | 132.35 | 134.80 | 134.40 | Cash: 1.0% (min 300 JPY) | TT rates apply to inward/outward remittance |
| EUR | 1 | 143.50 | 143.80 | 147.90 | 147.40 | Cash: 1.0% (min 300 JPY) | Passport required for cash exchange |
| GBP | 1 | 167.20 | 167.60 | 173.80 | 173.00 | Cash: 1.2% (min 300 JPY) | Higher spread due to liquidity |
| AUD | 1 | 87.10 | 87.25 | 90.40 | 90.10 | Cash: 1.0% (min 300 JPY) |  |
| CAD | 1 | 96.80 | 96.95 | 100.20 | 99.90 | Cash: 1.0% (min 300 JPY) |  |
| CHF | 1 | 146.30 | 146.55 | 151.70 | 151.10 | Cash: 1.2% (min 300 JPY) |  |
| SGD | 1 | 97.20 | 97.35 | 100.40 | 100.10 | Cash: 1.0% (min 300 JPY) |  |
| HKD | 1 | 16.60 | 16.62 | 17.35 | 17.30 | Cash: 1.0% (min 300 JPY) | Small unit spreads |
| THB | 1 | 3.55 | 3.56 | 3.86 | 3.84 | Cash: 1.5% (min 300 JPY) | Emerging-market cash handling fee |
| CNY | 1 | 18.10 | 18.15 | 19.20 | 19.10 | Cash: 1.5% (min 300 JPY) | Subject to local regulations |
