# Popular Baby Names by Origin Category (Not a Single Popularity Ranking)

| Origin Category | Example Name | Typical Gender | Notes | Popularity Signal |
|---|---|---|---|---|
| Irish | Aiden | Boy | Anglicized form of Aodhán | Frequently appears in Top 100 |
| Hebrew | Noah | Boy | Biblical name | Often Top 10 |
| Latin | Olivia | Girl | Modern classic | Often Top 10 |
| Greek | Sophia | Girl | Means wisdom | Often Top 20 |
| Germanic | Liam | Boy | Short form of William | Often Top 10 |
| Italian | Isabella | Girl | Variant of Elizabeth | Often Top 50 |
| English | Emma | Girl | Longstanding favorite | Often Top 10 |
| Arabic | Layla | Girl | Also spelled Leila | Often Top 30 |
| French | Charlotte | Girl | Feminine of Charles | Often Top 20 |
| Slavic | Mila | Girl | Short form names | Often Top 50 |
