# Universal Gas Constant R Expressed in Energy and Imperial Engineering Units

| Value of R | Compound units (energy or P–V form per amount·temperature) | Unit system / remarks |
| ---: | --- | --- |
| 8.314462618 | N·m·mol⁻¹·K⁻¹ | Since 1 J = 1 N·m |
| 8.314462618 | kg·m²·s⁻²·mol⁻¹·K⁻¹ | SI base-unit expansion of J·mol⁻¹·K⁻¹ |
| 8.314462618 | Pa·m³·mol⁻¹·K⁻¹ | Pressure–volume form equivalent to J·mol⁻¹·K⁻¹ |
| 0.08314462618 | m³·bar·mol⁻¹·K⁻¹ | Same constant with bar as pressure unit |
| 1.9858775 | Btu·lbmol⁻¹·°R⁻¹ | U.S. customary engineering form (energy per lbmol per Rankine) |
| 10.7316 | psi·ft³·lbmol⁻¹·°R⁻¹ | Common gas-law form in U.S. units |
| 0.730241 | atm·ft³·lbmol⁻¹·°R⁻¹ | Uses atm and cubic feet |
| 1545.349 | ft·lbf·lbmol⁻¹·°R⁻¹ | Mechanical-energy form (since 1 ft·lbf is work) |
| 1.987204 | cal·mol⁻¹·K⁻¹ | Thermochemical calorie form for energy per mol per kelvin |
