# List of Selective Serotonin Reuptake Inhibitors (SSRIs) — Brand and Generic Names

| Drug class | Brand name | Generic name | Formulation (common) |
| --- | --- | --- | --- |
| SSRIs | Prozac | fluoxetine | Capsule / tablet |
| SSRIs | Sarafem | fluoxetine | Capsule |
| SSRIs | Zoloft | sertraline | Tablet / oral concentrate |
| SSRIs | Paxil | paroxetine | Tablet |
| SSRIs | Paxil CR | paroxetine | Extended-release tablet |
| SSRIs | Celexa | citalopram | Tablet |
| SSRIs | Lexapro | escitalopram | Tablet / oral solution |
| SSRIs | Luvox | fluvoxamine | Tablet |
| SSRIs | Brisdelle | paroxetine | Capsule (low-dose) |
