# US Federal Observances and Selected Religious Holidays (2025)

| Category | Observance | Date(s) in 2025 | Notes |
| --- | --- | --- | --- |
| U.S. Federal Holiday | New Year's Day | Jan 1, 2025 | Government offices closed |
| Jewish | Purim | Mar 13–14, 2025 | Begins evening before |
| U.S. Federal Holiday | Memorial Day | May 26, 2025 | Last Monday in May |
| Jewish | Shavuot | Jun 1–3, 2025 | Diaspora (2 days) |
| U.S. Federal Holiday | Independence Day | Jul 4, 2025 | National holiday |
| Jewish | Rosh Hashanah | Sep 23–25, 2025 | 2 days (Diaspora) |
| Jewish | Yom Kippur | Oct 2, 2025 | Fast day |
| U.S. Federal Holiday | Thanksgiving Day | Nov 27, 2025 | Fourth Thursday in Nov |
| Jewish | Hanukkah | Dec 14–22, 2025 | 8 nights |
