# Top-Selling Xbox 360 Games (2006–2007) With System Link Field Included

| Year | Rank | Title | Publisher | Sales context | System Link (LAN) | Notes |
|---:|---:|---|---|---|---:|---|
| 2006 | 1 | Tom Clancy's Ghost Recon Advanced Warfighter | Ubisoft | Hardware/software sales chart | Yes | LAN supported |
| 2006 | 2 | Madden NFL 07 | Electronic Arts | Hardware/software sales chart | No | Not a LAN focus |
| 2006 | 3 | Gears of War | Microsoft | Hardware/software sales chart | Yes | System Link available |
| 2006 | 4 | The Elder Scrolls IV: Oblivion | Bethesda / 2K | Hardware/software sales chart | No | Single-player |
| 2007 | 1 | Halo 3 | Microsoft | Hardware/software sales chart | Yes | Popular in LAN |
| 2007 | 2 | Call of Duty 4: Modern Warfare | Activision | Hardware/software sales chart | Yes | LAN private matches |
| 2007 | 3 | Assassin's Creed | Ubisoft | Hardware/software sales chart | No | No System Link |
| 2007 | 4 | Forza Motorsport 2 | Microsoft | Hardware/software sales chart | Yes | Racing LAN |
| 2007 | 5 | Wii Play | Nintendo | Cross-platform sales comparison | No | Not Xbox 360 |
| 2007 | 6 | Grand Theft Auto: Vice City Stories | Rockstar Games | Cross-platform sales comparison | No | Not Xbox 360 |
