# Minor League Sports Teams by U.S. State (Selected Clubs)

| State | Club | Sport | League/Level | Home City |
|---|---|---|---|---|
| Florida | Pensacola Blue Wahoos | Baseball | MiLB (AA) | Pensacola |
| Florida | Orlando Pride | Soccer | NWSL | Orlando |
| Alabama | Birmingham Barons | Baseball | MiLB (AA) | Birmingham |
| Alabama | Birmingham Stallions | Football | USFL | Birmingham |
| Tennessee | Nashville Sounds | Baseball | MiLB (AAA) | Nashville |
| Tennessee | Nashville SC | Soccer | MLS | Nashville |
| Texas | Round Rock Express | Baseball | MiLB (AAA) | Round Rock |
| Texas | Austin FC | Soccer | MLS | Austin |
| Ohio | Columbus Clippers | Baseball | MiLB (AAA) | Columbus |
| Ohio | Columbus Crew | Soccer | MLS | Columbus |
