# Byzantine Emperors (Macedonian dynasty focus)  reign ranges and succession notes

| Dynasty | Emperor (English / Greek) | Reign (start–end) | Co-ruler(s) during reign | Predecessor | Successor | Notes |
| --- | --- | --- | --- | --- | --- | --- |
| Macedonian | Basil I (Βασίλειος Αʹ) | 24 Sep 867 – 29 Aug 886 | null (after 867) | Michael III | Leo VI | Founded Macedonian dynasty; came to power after Michael III’s death |
| Macedonian | Leo VI “the Wise” (Λέων ΣΤʹ) | 29 Aug 886 – 11 May 912 | Constantine VII (co-emperor from 908) | Basil I | Alexander | Major legal compilations; multiple marriages controversy |
| Macedonian | Alexander (Ἀλέξανδρος) | 11 May 912 – 6 Jun 913 | Constantine VII (nominal co-emperor) | Leo VI | Constantine VII (regency) | Short reign; court factionalism |
| Macedonian | Constantine VII Porphyrogenitus (Κωνσταντῖνος Ζʹ) | 6 Jun 913 – 9 Nov 959 | Romanos I (920–944); later Romanos II (from 945 as heir) | Alexander | Romanos II | Effective rule constrained until 945; noted scholar-emperor |
| Macedonian (Lekapenos interlude) | Romanos I Lekapenos (Ῥωμανὸς Αʹ) | 17 Dec 920 – 16 Dec 944 | Constantine VII (senior in theory); Christopher (921–931); Stephen (924–945); Constantine (924–945) | Regency for Constantine VII | Constantine VII (restored) | Rose as naval commander; ruled as senior emperor in practice |
| Macedonian | Romanos II (Ῥωμανὸς Βʹ) | 9 Nov 959 – 15 Mar 963 | null | Constantine VII | Nikephoros II | Expansion continued; died young |
| Nikephorian | Nikephoros II Phokas (Νικηφόρος Βʹ Φωκᾶς) | 16 Aug 963 – 11 Dec 969 | Basil II & Constantine VIII (co-emperors from 963) | Romanos II | John I Tzimiskes | Soldier-emperor; assassinated in palace coup |
| Tzimiskes | John I Tzimiskes (Ἰωάννης Αʹ Τσιμισκής) | 11 Dec 969 – 10 Jan 976 | Basil II & Constantine VIII (nominal co-emperors) | Nikephoros II | Basil II (senior) | Consolidated eastern gains; died in 976 |
| Macedonian | Basil II “the Bulgar-Slayer” (Βασίλειος Βʹ) | 10 Jan 976 – 15 Dec 1025 | Constantine VIII (co-emperor) | John I | Constantine VIII | Long reign; annexed Bulgaria |
| Macedonian | Constantine VIII (Κωνσταντῖνος Ηʹ) | 15 Dec 1025 – 11 Nov 1028 | null | Basil II | Romanos III | Final Macedonian male-line ruler |
| Macedonian (by marriage) | Romanos III Argyros (Ῥωμανὸς Γʹ Ἀργυρός) | 11 Nov 1028 – 11 Apr 1034 | null | Constantine VIII | Michael IV | Married Zoe; died under suspicious circumstances |
