# YouTube Channel Popularity Snapshot — Subscribers and Corporate Ownership (Brand Portfolio View)

| Portfolio Group | Channel | Subscribers (M) | Owner Company | Business Segment | Region |
| --- | --- | --- | --- | --- | --- |
| Sony | SET India | 170 | Sony Pictures Networks India | Television | India |
| Sony | Sony SAB | 90 | Sony Pictures Networks India | Television | India |
| Zee | Zee Music Company | 110 | Zee Entertainment Enterprises | Music | India |
| Universal | Justin Bieber | 75 | Universal Music Group | Music | Global |
| Moonbug | Cocomelon - Nursery Rhymes | 175 | Candle Media (Moonbug) | Kids | US/Global |
| T-Series | T-Series | 265 | Super Cassettes Industries Pvt. Ltd. | Music | India |
| TheSoul | 5-Minute Crafts | 80 | TheSoul Publishing | Digital media | Global |
| TKO | WWE | 105 | TKO Group Holdings | Sports entertainment | US/Global |
| YG | BLACKPINK | 95 | YG Entertainment | Music | South Korea |
| Alphabet | YouTube Movies | 40 | Google LLC | Platform/Media | Global |
| Alphabet | YouTube Music | 35 | Google LLC | Platform/Media | Global |
