# Colorado ZIP Codes - City Coverage Reference (Selected)

| ZIP Code | Type | Primary City Served | Other Common Cities Served |
| --- | --- | --- | --- |
| 80002 | Standard | Arvada | Wheat Ridge |
| 80003 | Standard | Arvada | Westminster |
| 80004 | Standard | Arvada | Golden |
| 80010 | Standard | Aurora | Denver (parts) |
| 80012 | Standard | Aurora | Glendale |
| 80013 | Standard | Aurora | Centennial (parts) |
| 80112 | Standard | Englewood | Centennial, Greenwood Village |
| 80202 | Standard | Denver | Downtown Denver |
| 80301 | Standard | Boulder | Gunbarrel |
| 80903 | Standard | Colorado Springs | Manitou Springs (parts) |
