# Selected Websites Commonly Blocked in Mainland China (Service, URL, and Type)

| Group | Service | Primary URL | Domain | Service Type | Notes |
|---|---|---|---|---|---|
| Major global platforms | Google Search | https://www.google.com | google.com | Search | Often includes many Google properties |
| Major global platforms | Gmail | https://mail.google.com | google.com | Email | Google account sign-in pages typically affected |
| Major global platforms | Google Drive | https://drive.google.com | google.com | Cloud Storage | File hosting/sync |
| Major global platforms | Google Maps | https://maps.google.com | google.com | Maps | Mapping and geolocation |
| Major global platforms | YouTube | https://www.youtube.com | youtube.com | Video Streaming | User-generated video platform |
| Social networks | Facebook | https://www.facebook.com | facebook.com | Social Networking | Core site and many subdomains |
| Social networks | Instagram | https://www.instagram.com | instagram.com | Social Networking | Photo/video social platform |
| Social networks | X (Twitter) | https://twitter.com | twitter.com | Social Networking | Microblogging/social feed |
| Messaging | WhatsApp | https://www.whatsapp.com | whatsapp.com | Messaging/VoIP | App service and web endpoints |
| Knowledge & community | Wikipedia | https://www.wikipedia.org | wikipedia.org | Reference/Encyclopedia | Multilingual encyclopedia |
| News & media | The New York Times | https://www.nytimes.com | nytimes.com | News | International news outlet |
| Developer services | GitHub | https://github.com | github.com | Developer Platform | Code hosting and collaboration |
