# Demographics of Turkey
> Vital statistics

|  | Population (31.12.) | Live births | Deaths | Natural change | Crude birth rate (per 1000) | Crude death (per 1000) | Natural increase (per 1000) | Total fertility rate (TFR) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 2001 |  | 1 323 341 | 175 137 | 1 148 204 | 20.3 |  |  | 2.37 |
| 2002 |  | 1 229 555 | 175 434 | 1 054 121 | 18.6 |  |  | 2.17 |
| 2003 |  | 1 198 927 | 184 330 | 1 014 597 | 17.9 |  |  | 2.09 |
| 2004 |  | 1 222 484 | 187 086 | 1 035 398 | 18.0 |  |  | 2.11 |
| 2005 |  | 1 244 041 | 197 520 | 1 046 521 | 18.1 |  |  | 2.12 |
| 2006 |  | 1 255 432 | 210 146 | 1 045 286 | 18.1 |  |  | 2.12 |
| 2007 | 70 586 256 | 1 289 992 | 212 731 | 1 077 261 | 18.3 |  |  | 2.16 |
| 2008 | 71 517 100 | 1 295 511 | 215 562 | 1 079 949 | 18.2 |  |  | 2.15 |
| 2009 | 72 561 312 | 1 266 751 | 368 390 | 898 361 | 17.6 | 5.1 | 12.5 | 2.10 |
| 2010 | 73 722 988 | 1 261 169 | 365 190 | 894 687 | 17.2 | 5.0 | 12.2 | 2.08 |
| 2011 | 74 724 269 | 1 248 550 | 375 923 | 871 158 | 16.8 | 5.1 | 11.7 | 2.05 |
| 2012 | 75 627 384 | 1 292 380 | 376 000 | 914 387 | 17.2 | 5.0 | 12.2 | 2.11 |
| 2013 | 76 667 864 | 1 294 088 | 372 686 | 918 531 | 17.0 | 4.9 | 12.1 | 2.10 |
| 2014 | 77 695 904 | 1 345 286 | 391 009 | 954 277 | 17.4 | 5.1 | 12.3 | 2.18 |
| 2015 | 78 741 053 | 1 325 783 | 405 218 | 920 565 | 16.9 | 5.2 | 11.7 | 2.14 |
