# Boston Hospital Listings  RN and Advanced Practice Roles Side-by-Side (Scan View)

| Employer | Listing Title | Department/Track | Pay | Notes |
| --- | --- | --- | --- | --- |
| Boston Medical Center | Staff RN – Emergency | ED | $49.75/hr | 36 hrs/week |
| Massachusetts General Hospital | Nurse Practitioner – Neurology | Advanced Practice | $152,000 | Annual |
| Brigham and Women's Hospital | Registered Nurse – PACU | Perioperative | $114,900 | Annual |
| Beth Israel Deaconess Medical Center | Clinical Nurse Specialist (CNS) – Oncology | Advanced Practice | $145,500 | Annual |
| Boston Children's Hospital | Registered Nurse – NICU | ICU | $48.20/hr | Nights |
| Tufts Medical Center | Certified Nurse Midwife – OB | Women's Health | $131,000 | Annual |
| Dana-Farber Cancer Institute | Registered Nurse – Infusion | Oncology | $52.40/hr | Day shift |
| Spaulding Rehabilitation Hospital | APRN – Rehab Medicine | Advanced Practice | $149,300 | Annual |
| Lahey Hospital & Medical Center (Burlington, MA) | Registered Nurse – Med/Surg | Inpatient | $44.60/hr | Boston area commute |
