# Coordination Geometry and Bond Metrics for Selected Ligands in Complexes

| Ligand (donor) | Ligand formula | Charge | Typical geometry when bound | Representative M–L bond length (Å) |
| --- | --- | --- | --- | --- |
| Oxide (O-donor) | O2− | −2 | bridging (μ2) in many oxides | 1.8–2.1 |
| Hydroxide (O-donor) | OH− | −1 | bridging or terminal | 1.9–2.2 |
| Cyanide (C-donor) | CN− | −1 | linear | 1.9–2.0 |
| Carbonyl (C-donor) | CO | 0 | linear | 1.7–1.9 |
| Nitrosyl (N-donor) | NO+/NO− | +1/−1 | linear or bent | 1.6–2.0 |
| Ammine (N-donor) | NH3 | 0 | octahedral environments common | 2.0–2.2 |
| Fluoride (F-donor) | F− | −1 | octahedral common | 1.8–2.1 |
| Azide (N-donor) | N3− | −1 | end-on or bridging | 2.0–2.2 |
| Sulfide (S-donor) | S2− | −2 | bridging common | 2.2–2.6 |
| Thiolate (S-donor) | RS− | −1 | tetrahedral/square planar common | 2.2–2.4 |
