# North Carolina Sales and Use Tax Rates by County (Combined Rate Only)

| County | Combined Sales & Use Tax Rate | Notes |
| --- | ---: | --- |
| Mecklenburg | 7.25% | Includes all applicable local add-ons |
| Wake | 7.25% | Combined county rate |
| Durham | 7.50% | Combined county rate |
| Guilford | 6.75% | Combined county rate |
| Cumberland | 7.00% | Combined county rate |
| Buncombe | 7.00% | Combined county rate |
| New Hanover | 7.00% | Combined county rate |
| Forsyth | 7.00% | Combined county rate |
| Union | 7.25% | Combined county rate |
| Gaston | 7.25% | Combined county rate |
