# Newspapers Grouped by Media Company Portfolio (Holdings Overview)

| Media Group | Portfolio Newspaper | Primary Market | Portfolio Role | Ownership Notes |
| --- | --- | --- | --- | --- |
| The New York Times Company | The New York Times | New York / Nationwide | Flagship | Public company |
| News Corp | The Wall Street Journal | New York / Nationwide | Flagship | Subsidiary of Dow Jones |
| Gannett | USA Today | Nationwide | Flagship | National brand |
| Torstar | Toronto Star | Toronto | Flagship | Canadian media group |
| Postmedia Network | National Post | Canada (national) | Flagship | Chain ownership |
| GEDI | la Repubblica | Italy (national) | Flagship | Italian publishing group |
| RCS MediaGroup | Corriere della Sera | Italy (national) | Flagship | Milan-based group |
| Tribune Publishing (legacy) | Los Angeles Times | Los Angeles | Major metro | Historical holding |
| GateHouse Media (legacy) | The Providence Journal | Providence metro | Regional | Chain ownership |
| Hearst Communications | San Francisco Chronicle | Bay Area | Major metro | Private company |
