# Party Control of the U.S. Senate by Congress (Selected Congresses, Majority Status)

| Congress | Years | Senate Majority Party (Control) | Majority Margin (Seats) | Notes |
|---|---|---|---:|---|
| 93rd | 1973–1975 | Democratic | +12 | Post-1972 election Democratic majority |
| 94th | 1975–1977 | Democratic | +22 | Large Democratic majority after 1974 |
| 95th | 1977–1979 | Democratic | +26 | Strong Democratic control |
| 96th | 1979–1981 | Democratic | +18 | Democratic majority heading into 1980 election |
| 97th | 1981–1983 | Republican | +0 | Effective GOP control via VP tie-break in a 50–50 Senate |
| 98th | 1983–1985 | Republican | +1 | Narrow Republican majority |
| 99th | 1985–1987 | Republican | +9 | Continued GOP control |
| 100th | 1987–1989 | Democratic | +10 | Majority flips back to Democrats |
| 101st | 1989–1991 | Democratic | +10 | Democratic control continues |
| 102nd | 1991–1993 | Democratic | +11 | Democratic majority |
| 103rd | 1993–1995 | Democratic | +8 | Democratic majority |
| 104th | 1995–1997 | Republican | +6 | 1994 midterms shift control to GOP |
