# Baby Growth by Age  Height Ranges Only (No Weight Provided)

| Baby age (months) | Typical length/height range (in) | Measurement tip |
| --- | --- | --- |
| 0 | 18.0–21.0 | Measure recumbent length |
| 1 | 19.0–22.5 | Keep legs gently extended |
| 2 | 20.0–24.0 | Use a firm measuring board if possible |
| 3 | 21.0–25.0 | Repeat twice and average |
| 4 | 22.0–26.0 | Record to nearest 0.1 in |
| 5 | 23.0–27.0 | Time of day can slightly affect length |
| 6 | 24.0–28.0 | Growth may come in spurts |
| 9 | 26.0–30.0 | Some babies start standing |
| 12 | 28.0–32.0 | Standing height may begin to be used |
