# Oxygen Functional Groups by Core Oxygen Motif and Oxidation-Level Category (Recognition-Oriented)

| Core oxygen motif | Functional group (O-containing) | Generic structure | Quick recognition cue | Oxidation-level bucket (informal) |
|---|---|---|---|---|
| Single-bond hydroxyl | Alcohol | R–OH | One O bonded to C and H | Reduced |
| Single-bond hydroxyl | Phenol | Ar–OH | OH directly on aromatic ring | Reduced |
| Single-bond oxygen bridge | Ether | R–O–R' | O between two carbons; no C=O | Reduced |
| Single-bond oxygen in ring | Cyclic ether | (CH2)n–O (in ring) | O embedded in ring (e.g., THF motif) | Reduced |
| Strained cyclic ether | Epoxide | three-membered ring with O | 3-membered C–C–O ring | Reduced |
| Carbonyl (C=O) | Aldehyde | R–C(=O)H | Terminal carbonyl with H | Carbonyl |
| Carbonyl (C=O) | Ketone | R–C(=O)–R' | Carbonyl flanked by carbons | Carbonyl |
| Carbonyl + hydroxyl | Carboxylic acid | R–C(=O)OH | Carbonyl adjacent to OH | Highly oxidized |
| Carbonyl + alkoxy | Ester | R–C(=O)OR' | Carbonyl adjacent to OR | Highly oxidized |
| Two carbonyls bridged by O | Acid anhydride | R–C(=O)–O–C(=O)–R' | Two C=O with central O | Highly oxidized |
| Carbonyl + hetero substituent (O-based core) | Acyl halide | R–C(=O)X | Carbonyl with halogen leaving group | Highly oxidized |
| O–O bond | Peroxide | R–O–O–R' | Distinct O–O single bond | Variable |
| O–O bond with terminal H | Hydroperoxide | R–O–OH | –OOH tail | Variable |
| Multiple O around one carbon | Carbonate | RO–C(=O)–OR' | Ester-like but two OR groups | Highly oxidized |
| Deprotonated carboxyl | Carboxylate | R–C(=O)O− | Resonance-stabilized –COO− | Highly oxidized |
