# Reckless Driving Penalties by State (Mixed Offense Levels, Not Felony-Focused)

| State | Offense label | Offense level | Mandatory minimum | Maximum penalty | License consequence |
|---|---|---|---|---|---|
| Texas | Reckless driving | Misdemeanor | null specified | Up to 30 days jail and/or $200 fine | Possible suspension |
| Virginia | Reckless driving (speed-based) | Class 1 misdemeanor | null specified | Up to 12 months jail and/or $2,500 fine | Up to 6 months loss of privilege |
| Florida | Reckless driving (first offense) | Misdemeanor | null specified | Up to 90 days jail and/or $500 fine | Points/suspension possible |
| California | Reckless driving | Misdemeanor | null specified | 5–90 days jail and/or $145–$1,000 fine | Suspension possible |
| New York | Reckless driving | Misdemeanor | null specified | Up to 30 days jail and/or $100–$300 fine | 5 points |
| Illinois | Reckless driving | Misdemeanor | null specified | Up to 1 year jail and/or up to $2,500 | Suspension possible |
| Arizona | Reckless driving | Misdemeanor | null specified | Up to 4 months jail and/or up to $750 | Possible suspension |
| Washington | Reckless driving | Gross misdemeanor | null specified | Up to 364 days jail and/or $5,000 | 30-day suspension |
| Colorado | Reckless driving | Misdemeanor | null specified | 10–90 days jail and/or $150–$300 | Points |
| Massachusetts | Reckless operation | Misdemeanor | null specified | Up to 2 years jail and/or $200–$1,000 | Suspension possible |
