# Median LSAT for Enrolled Students — Selected U.S. Law Schools (Entering Class 2022)

| Region | Law School | Median LSAT |
| --- | --- | --- |
| Northeast | Georgetown University Law Center | 171 |
| Northeast | Cornell Law School | 170 |
| South | Duke University School of Law | 170 |
| South | University of Virginia School of Law | 169 |
| Midwest | Northwestern Pritzker School of Law | 169 |
| West | University of California, Berkeley, School of Law | 168 |
| South | University of Texas at Austin School of Law | 167 |
| West | University of California, Los Angeles (UCLA) School of Law | 167 |
| Northeast | Boston University School of Law | 166 |
