# Confederate States of America states (alphabetical) with capital and nickname

| State | Confederate state capital (wartime) | Common nickname | Joined CSA (year) |
|---|---|---|---|
| Alabama | Montgomery | Yellowhammer State | 1861 |
| Arkansas | Little Rock | The Natural State | 1861 |
| Florida | Tallahassee | Sunshine State | 1861 |
| Georgia | Milledgeville | Peach State | 1861 |
| Louisiana | Baton Rouge | Pelican State | 1861 |
| Mississippi | Jackson | Magnolia State | 1861 |
| North Carolina | Raleigh | Tar Heel State | 1861 |
| South Carolina | Columbia | Palmetto State | 1861 |
| Tennessee | Nashville | Volunteer State | 1861 |
| Texas | Austin | Lone Star State | 1861 |
| Virginia | Richmond | Old Dominion | 1861 |
