# Cross-Translation Glossary  How Biblical Names Are Rendered (Not a Name-Meaning Table)

| Hebrew/Greek Form | KJV Rendering | NIV Rendering | Septuagint (LXX) | Latin Vulgate | Category |
|---|---|---|---|---|---|
| Yitzḥaq | Isaac | Isaac | Isaak | Isaac | Patriarch |
| Yaʿaqov | Jacob | Jacob | Iakob | Iacob | Patriarch |
| Miryam | Miriam | Miriam | Mariam | Maria | Family name |
| Yeshua | Jesus | Jesus | Iesous | Iesus | Messiah |
| Yohanan | John | John | Ioannes | Ioannes | Apostle/Prophet |
| Sha'ul / Paulos | Saul / Paul | Saul / Paul | Saulos / Paulos | Saulus / Paulus | Apostle |
| Mosheh | Moses | Moses | Mōusēs | Moyses | Prophet |
| Dawid | David | David | Dauid | David | King |
| Shelomoh | Solomon | Solomon | Salōmōn | Salomon | King |
| Eliyyahu | Elijah | Elijah | Ēlias | Elias | Prophet |
