# Trans and Non-Binary Characters on Screen (Identity-Focused List with Title Mapping)

| Character | Film/TV Title | Medium | Gender identity label | Evidence/Context |
| --- | --- | --- | --- | --- |
| Richie Tozier | It Chapter Two | Film | Gay transgender man | Film dialogue references him as trans; identity and sexuality both depicted |
| Ray Finkle / Lois Einhorn | Ace Ventura: Pet Detective | Film | Transgender (depicted) | Character is written as trans; portrayal is controversial but still an identity-labeled instance |
| Max Sweeney | The L Word: Generation Q | TV series | Trans man | Identified as a trans man within the series |
| Nia Nal (Dreamer) | Supergirl | TV series | Transgender woman | Publicly confirmed trans; identity integrated into character arc |
| Paul Strickland | 9-1-1: Lone Star | TV series | Trans man | Identified as a trans man; includes transition-related storylines |
| Taylor Mason | Billions | TV series | Non-binary | Character uses they/them; explicitly described as non-binary |
| Adira Tal | Star Trek: Discovery | TV series | Non-binary | Uses they/them and self-identifies as non-binary |
| Victor Hargreeves | The Umbrella Academy | TV series | Transgender man | Character transitions on-screen; explicitly framed as trans |
| Desire of the Endless | The Sandman | TV series | Non-binary / gender-fluid | Depicted with a non-binary/gender-fluid identity concept |
| Theo Putnam | Chilling Adventures of Sabrina | TV series | Transgender boy | Character comes out as trans; transition is part of the narrative |
