# List of cruise ships
> N

| Name | Operator | Began operation | Tonnage | Status |
| --- | --- | --- | --- | --- |
| National Geographic Endeavour | Lindblad Expeditions | 1996 | 3,132 | Operating, originally, the Marburg , formerly Lindmar , North Star , Caledonian Star , Endeavour , |
| National Geographic Explorer | Lindblad Expeditions | 1982 | 6,167 | Operating, originally, the Midnatsol , formerly Midnatsol II , Lyngen |
| Nautica | Oceania Cruises | 2005 | 30,277 | Operating. Originally the R Five |
| Navigator of the Seas | Royal Caribbean International | 2002 | 138,000 | Operating |
| Nieuw Amsterdam | Holland America Line | 2010 | 86,700 | Operating |
| Noordam | Holland America Line | 2006 | 82,500 | Operating |
| Nordic Empress | Royal Caribbean International | 1990 |  | Renamed Empress of the Seas in 2004. Now operating as MS Empress for Pullmantur Cruises |
| Nordkapp | Hurtigruten | 1996 | 11,386 | Operating |
| Nordlys | Hurtigruten | 1993 | 11,204 | Operating |
| Nordnorge | Hurtigruten | 1997 | 11,286 | Operating |
| SS Norway | Norwegian Cruise Line | 1978 |  | Former ocean liner France . Ended operation in 2003. Was scrapped in Alang 2008. |
| Norwegian Bliss | Norwegian Cruise Line | 2017 | 163,000 | Under construction |
| Norwegian Dawn | Norwegian Cruise Line | 2002 | 92,250 | Operating. Formerly SuperStar Scorpio |
| Norwegian Dream | Norwegian Cruise Line | 1998 | 50,764 | Renamed SuperStar Gemini in 2012 and laid up in Freeport, Bahamas, awaiting a buyer |
| Norwegian Epic | Norwegian Cruise Line | 2010 | 155,873 | Operating |
| Norwegian Escape | Norwegian Cruise Line | 2015 | 163,000 | Under construction |
| Norwegian Getaway | Norwegian Cruise Line | 2014 | 145,655 | Operating |
| Norwegian Gem | Norwegian Cruise Line | 2007 | 93,500 | Operating |
| Norwegian Jade | Norwegian Cruise Line | 2006 | 93,500 | Operating |
| Norwegian Jewel | Norwegian Cruise Line | 2005 | 92,000 | Operating |
| Norwegian Pearl | Norwegian Cruise Line | 2006 | 93,500 | Operating |
| Norwegian Spirit | Norwegian Cruise Line | 2004 | 77,000 | Operating. Formerly SuperStar Leo |
| Norwegian Sky | Norwegian Cruise Line | 1999 | 77,104 | Renamed in 2003 to Pride of Aloha , and back to Norwegian Sky in 2008 Operating |
| Norwegian Star | Norwegian Cruise Line | 2001 | 91,740 | Operating. Formerly SuperStar Libra |
| Norwegian Sun | Norwegian Cruise Line | 2001 | 78,309 | Operating |
| Norwegian Breakaway | Norwegian Cruise Line | 2013 | 146,600 | Operating |
